id_cliente,nombre,municipio,latitud,longitud,capacidad_kg,apertura_minutos,cierre_minutos,prioridad,valor_pedido
C00001,Cliente SANTO DOMINGO 1,SANTO DOMINGO,6.49290585147441,-75.15526357840535,1000,360,1140,3,2323282.015231042
C00002,Cliente VALPARAÍSO 2,VALPARAÍSO,5.6559824024697285,-75.62251121688816,1000,420,1200,3,950033.587675148
C00003,Cliente BETULIA 3,BETULIA,6.190482872385108,-75.95202633358048,1000,540,1020,2,740494.6102276071
C00004,Cliente ARGELIA 4,ARGELIA,5.706357323368682,-75.08329091154428,200,540,1140,3,4306705.013344787
C00005,Cliente CAICEDONIA 5,CAICEDONIA,4.295818937947492,-75.8541236062806,500,360,1200,3,129032.94849006024
C00006,Cliente ARGELIA 6,ARGELIA,4.711657185060487,-76.14404389025042,500,360,1200,1,1330960.9089200837
C00007,Cliente EL SANTUARIO 7,EL SANTUARIO,6.134423951412706,-75.25511654502034,100,540,1080,1,2276282.96018034
C00008,Cliente ARBOLETES 8,ARBOLETES,8.620486141834258,-76.42172153924777,500,360,1080,2,1393177.7072807848
C00009,Cliente GRANADA 9,GRANADA,6.1268507676265545,-75.10902624770944,500,540,1020,2,419025.6862148656
C00010,Cliente MURINDÓ 10,MURINDÓ,6.825709914228255,-76.71281822927298,200,480,1020,3,3049501.8751660064
C00011,Cliente COPACABANA 11,COPACABANA,6.368481280021752,-75.48675478688841,500,420,1020,1,1659657.4440323978
C00012,Cliente SAN ROQUE 12,SAN ROQUE,6.469817122508309,-74.95408432828039,200,360,1140,2,3815885.9906536425
C00013,Cliente EL CERRITO 13,EL CERRITO,3.6558246968545753,-76.30750852682472,100,420,1200,2,3200231.535755713
C00014,Cliente GÓMEZ PLATA 14,GÓMEZ PLATA,6.712093861879056,-75.18488226654294,1000,480,1140,3,1182550.919183531
C00015,Cliente TRUJILLO 15,TRUJILLO,4.237222734659541,-76.33513559267841,500,420,1080,3,4363729.921429203
C00016,Cliente CAMPAMENTO 16,CAMPAMENTO,7.024755095488673,-75.29100138208518,200,540,1080,2,4538800.785651483
C00017,Cliente ANSERMANUEVO 17,ANSERMANUEVO,4.785044698501678,-76.03254617845495,500,360,1020,2,2693742.6259084377
C00018,Cliente JERICÓ 18,JERICÓ,5.758704848418829,-75.78008794530666,500,540,1140,2,2812604.909985839
C00019,Cliente TURBO 19,TURBO,8.15644743488436,-76.58388108344263,500,420,1140,3,1459960.4471684648
