cod_dpto,nom_dpto,cod_mpio,nom_mpio,tipo,latitud,longitud,geo_municipio
5,antioquia,5001,MEDELLÍN,Municipio,6.257590259,-75.61103107,"{'type': 'Point', 'coordinates': [-75.61103107, 6.257590259]}"
5,antioquia,5002,ABEJORRAL,Municipio,5.803728154,-75.43847353,"{'type': 'Point', 'coordinates': [-75.43847353, 5.803728154]}"
5,antioquia,5004,ABRIAQUÍ,Municipio,6.627569378,-76.08597756,"{'type': 'Point', 'coordinates': [-76.08597756, 6.627569378]}"
5,antioquia,5021,ALEJANDRÍA,Municipio,6.365534125,-75.09059702,"{'type': 'Point', 'coordinates': [-75.09059702, 6.365534125]}"
5,antioquia,5030,AMAGÁ,Municipio,6.032921994,-75.7080031,"{'type': 'Point', 'coordinates': [-75.7080031, 6.032921994]}"
5,antioquia,5031,AMALFI,Municipio,6.977788843,-74.9812393,"{'type': 'Point', 'coordinates': [-74.9812393, 6.977788843]}"
5,antioquia,5034,ANDES,Municipio,5.604993248,-75.94128391,"{'type': 'Point', 'coordinates': [-75.94128391, 5.604993248]}"
5,antioquia,5036,ANGELÓPOLIS,Municipio,6.121430303,-75.71594966,"{'type': 'Point', 'coordinates': [-75.71594966, 6.121430303]}"
5,antioquia,5038,ANGOSTURA,Municipio,6.861498764,-75.358316,"{'type': 'Point', 'coordinates': [-75.358316, 6.861498764]}"
5,antioquia,5040,ANORÍ,Municipio,7.193110778,-75.10848954,"{'type': 'Point', 'coordinates': [-75.10848954, 7.193110778]}"
5,antioquia,5042,SANTA FÉ DE ANTIOQUIA,Municipio,6.535711576,-75.90426658,"{'type': 'Point', 'coordinates': [-75.90426658, 6.535711576]}"
5,antioquia,5044,ANZÁ,Municipio,6.293546613,-75.91736927,"{'type': 'Point', 'coordinates': [-75.91736927, 6.293546613]}"
5,antioquia,5045,APARTADÓ,Municipio,7.86047815,-76.58236264,"{'type': 'Point', 'coordinates': [-76.58236264, 7.86047815]}"
5,antioquia,5051,ARBOLETES,Municipio,8.611395262,-76.41478317,"{'type': 'Point', 'coordinates': [-76.41478317, 8.611395262]}"
5,antioquia,5055,ARGELIA,Municipio,5.708114524,-75.09469795,"{'type': 'Point', 'coordinates': [-75.09469795, 5.708114524]}"
5,antioquia,5059,ARMENIA,Municipio,6.163683758,-75.80995528,"{'type': 'Point', 'coordinates': [-75.80995528, 6.163683758]}"
5,antioquia,5079,BARBOSA,Municipio,6.443417935,-75.32924085,"{'type': 'Point', 'coordinates': [-75.32924085, 6.443417935]}"
5,antioquia,5086,BELMIRA,Municipio,6.665853953,-75.68621659,"{'type': 'Point', 'coordinates': [-75.68621659, 6.665853953]}"
5,antioquia,5088,BELLO,Municipio,6.358841086,-75.58973588,"{'type': 'Point', 'coordinates': [-75.58973588, 6.358841086]}"
5,antioquia,5091,BETANIA,Municipio,5.727081285,-75.98689107,"{'type': 'Point', 'coordinates': [-75.98689107, 5.727081285]}"
5,antioquia,5093,BETULIA,Municipio,6.185783612,-75.95649246,"{'type': 'Point', 'coordinates': [-75.95649246, 6.185783612]}"
5,antioquia,5101,CIUDAD BOLÍVAR,Municipio,5.840995666,-76.01065253,"{'type': 'Point', 'coordinates': [-76.01065253, 5.840995666]}"
5,antioquia,5107,BRICEÑO,Municipio,7.111788462,-75.56223474,"{'type': 'Point', 'coordinates': [-75.56223474, 7.111788462]}"
5,antioquia,5113,BURITICÁ,Municipio,6.80906489,-75.91206595,"{'type': 'Point', 'coordinates': [-75.91206595, 6.80906489]}"
5,antioquia,5120,CÁCERES,Municipio,7.665155105,-75.22369744,"{'type': 'Point', 'coordinates': [-75.22369744, 7.665155105]}"
5,antioquia,5125,CAICEDO,Municipio,6.423463639,-75.99351498,"{'type': 'Point', 'coordinates': [-75.99351498, 6.423463639]}"
5,antioquia,5129,CALDAS,Municipio,6.054446841,-75.62642674,"{'type': 'Point', 'coordinates': [-75.62642674, 6.054446841]}"
5,antioquia,5134,CAMPAMENTO,Municipio,7.036017478,-75.28766178,"{'type': 'Point', 'coordinates': [-75.28766178, 7.036017478]}"
5,antioquia,5138,CAÑASGORDAS,Municipio,6.814950023,-76.02689632,"{'type': 'Point', 'coordinates': [-76.02689632, 6.814950023]}"
5,antioquia,5142,CARACOLÍ,Municipio,6.33797388,-74.73354817,"{'type': 'Point', 'coordinates': [-74.73354817, 6.33797388]}"
5,antioquia,5145,CARAMANTA,Municipio,5.555275296,-75.63082096,"{'type': 'Point', 'coordinates': [-75.63082096, 5.555275296]}"
5,antioquia,5147,CAREPA,Municipio,7.757967437,-76.64374657,"{'type': 'Point', 'coordinates': [-76.64374657, 7.757967437]}"
5,antioquia,5148,EL CARMEN DE VIBORAL,Municipio,5.978078841,-75.2635361,"{'type': 'Point', 'coordinates': [-75.2635361, 5.978078841]}"
5,antioquia,5150,CAROLINA,Municipio,6.754821442,-75.30590654,"{'type': 'Point', 'coordinates': [-75.30590654, 6.754821442]}"
5,antioquia,5154,CAUCASIA,Municipio,7.867941792,-75.03501824,"{'type': 'Point', 'coordinates': [-75.03501824, 7.867941792]}"
5,antioquia,5172,CHIGORODÓ,Municipio,7.631665644,-76.63964213,"{'type': 'Point', 'coordinates': [-76.63964213, 7.631665644]}"
5,antioquia,5190,CISNEROS,Municipio,6.550065431,-75.08254116,"{'type': 'Point', 'coordinates': [-75.08254116, 6.550065431]}"
5,antioquia,5197,COCORNÁ,Municipio,6.005593074,-75.16015403,"{'type': 'Point', 'coordinates': [-75.16015403, 6.005593074]}"
5,antioquia,5206,CONCEPCIÓN,Municipio,6.376106187,-75.21785901,"{'type': 'Point', 'coordinates': [-75.21785901, 6.376106187]}"
5,antioquia,5209,CONCORDIA,Municipio,6.057468678,-75.90014678,"{'type': 'Point', 'coordinates': [-75.90014678, 6.057468678]}"
5,antioquia,5212,COPACABANA,Municipio,6.351882893,-75.50075633,"{'type': 'Point', 'coordinates': [-75.50075633, 6.351882893]}"
5,antioquia,5234,DABEIBA,Municipio,6.992243782,-76.31426328,"{'type': 'Point', 'coordinates': [-76.31426328, 6.992243782]}"
5,antioquia,5237,DONMATÍAS,Municipio,6.492403905,-75.42227687,"{'type': 'Point', 'coordinates': [-75.42227687, 6.492403905]}"
5,antioquia,5240,EBÉJICO,Municipio,6.326444922,-75.78331175,"{'type': 'Point', 'coordinates': [-75.78331175, 6.326444922]}"
5,antioquia,5250,EL BAGRE,Municipio,7.704633351,-74.66427726,"{'type': 'Point', 'coordinates': [-74.66427726, 7.704633351]}"
5,antioquia,5264,ENTRERRÍOS,Municipio,6.594656004,-75.55913083,"{'type': 'Point', 'coordinates': [-75.55913083, 6.594656004]}"
5,antioquia,5266,ENVIGADO,Municipio,6.154394922,-75.54686779,"{'type': 'Point', 'coordinates': [-75.54686779, 6.154394922]}"
5,antioquia,5282,FREDONIA,Municipio,5.887702934,-75.67926242,"{'type': 'Point', 'coordinates': [-75.67926242, 5.887702934]}"
5,antioquia,5284,FRONTINO,Municipio,6.691364773,-76.33199656,"{'type': 'Point', 'coordinates': [-76.33199656, 6.691364773]}"
5,antioquia,5306,GIRALDO,Municipio,6.663095863,-75.94804663,"{'type': 'Point', 'coordinates': [-75.94804663, 6.663095863]}"
5,antioquia,5308,GIRARDOTA,Municipio,6.379745895,-75.44795744,"{'type': 'Point', 'coordinates': [-75.44795744, 6.379745895]}"
5,antioquia,5310,GÓMEZ PLATA,Municipio,6.709562839,-75.19270291,"{'type': 'Point', 'coordinates': [-75.19270291, 6.709562839]}"
5,antioquia,5313,GRANADA,Municipio,6.123380721,-75.12763646,"{'type': 'Point', 'coordinates': [-75.12763646, 6.123380721]}"
5,antioquia,5315,GUADALUPE,Municipio,6.861576325,-75.22591303,"{'type': 'Point', 'coordinates': [-75.22591303, 6.861576325]}"
5,antioquia,5318,GUARNE,Municipio,6.266625703,-75.43730801,"{'type': 'Point', 'coordinates': [-75.43730801, 6.266625703]}"
5,antioquia,5321,GUATAPÉ,Municipio,6.236329826,-75.15651272,"{'type': 'Point', 'coordinates': [-75.15651272, 6.236329826]}"
5,antioquia,5347,HELICONIA,Municipio,6.214511788,-75.74971002,"{'type': 'Point', 'coordinates': [-75.74971002, 6.214511788]}"
5,antioquia,5353,HISPANIA,Municipio,5.797039002,-75.90669203,"{'type': 'Point', 'coordinates': [-75.90669203, 5.797039002]}"
5,antioquia,5360,ITAGÜÍ,Municipio,6.179279438,-75.6142037,"{'type': 'Point', 'coordinates': [-75.6142037, 6.179279438]}"
5,antioquia,5361,ITUANGO,Municipio,7.341549718,-75.67842277,"{'type': 'Point', 'coordinates': [-75.67842277, 7.341549718]}"
5,antioquia,5364,JARDÍN,Municipio,5.574444339,-75.81842575,"{'type': 'Point', 'coordinates': [-75.81842575, 5.574444339]}"
5,antioquia,5368,JERICÓ,Municipio,5.769820536,-75.76488256,"{'type': 'Point', 'coordinates': [-75.76488256, 5.769820536]}"
5,antioquia,5376,LA CEJA,Municipio,5.992524843,-75.43086935,"{'type': 'Point', 'coordinates': [-75.43086935, 5.992524843]}"
5,antioquia,5380,LA ESTRELLA,Municipio,6.137595883,-75.64895499,"{'type': 'Point', 'coordinates': [-75.64895499, 6.137595883]}"
5,antioquia,5390,LA PINTADA,Municipio,5.746583958,-75.60220206,"{'type': 'Point', 'coordinates': [-75.60220206, 5.746583958]}"
5,antioquia,5400,LA UNIÓN,Municipio,5.940434685,-75.35429023,"{'type': 'Point', 'coordinates': [-75.35429023, 5.940434685]}"
5,antioquia,5411,LIBORINA,Municipio,6.723990935,-75.78300046,"{'type': 'Point', 'coordinates': [-75.78300046, 6.723990935]}"
5,antioquia,5425,MACEO,Municipio,6.534573585,-74.71410854,"{'type': 'Point', 'coordinates': [-74.71410854, 6.534573585]}"
5,antioquia,5440,MARINILLA,Municipio,6.18520515,-75.30487933,"{'type': 'Point', 'coordinates': [-75.30487933, 6.18520515]}"
5,antioquia,5467,MONTEBELLO,Municipio,5.916853903,-75.51972693,"{'type': 'Point', 'coordinates': [-75.51972693, 5.916853903]}"
5,antioquia,5475,MURINDÓ,Municipio,6.828773855,-76.70861349,"{'type': 'Point', 'coordinates': [-76.70861349, 6.828773855]}"
5,antioquia,5480,MUTATÁ,Municipio,7.329557848,-76.4630657,"{'type': 'Point', 'coordinates': [-76.4630657, 7.329557848]}"
5,antioquia,5483,NARIÑO,Municipio,5.581275312,-75.19457019,"{'type': 'Point', 'coordinates': [-75.19457019, 5.581275312]}"
5,antioquia,5490,NECOCLÍ,Municipio,8.493728551,-76.67699588,"{'type': 'Point', 'coordinates': [-76.67699588, 8.493728551]}"
