id_cliente,BODEGA_MEDELLIN,BODEGA_CALI,C00001,C00002,C00003,C00004,C00005,C00006,C00007,C00008,C00009,C00010,C00011,C00012,C00013,C00014,C00015,C00016,C00017,C00018,C00019,C00020,C00021,C00022,C00023,C00024,C00025,C00026,C00027,C00028,C00029,C00030,C00031,C00032,C00033,C00034,C00035,C00036,C00037,C00038,C00039,C00040,C00041,C00042,C00043,C00044,C00045,C00046,C00047,C00048,C00049,C00050
BODEGA_MEDELLIN,0.0,733.9,117.0,148.4,96.9,179.7,490.0,407.6,81.4,623.7,116.2,316.7,34.6,159.5,669.0,147.3,534.3,203.0,381.4,133.3,534.5,219.2,409.0,66.8,148.2,148.4,416.9,381.3,496.9,49.5,174.4,537.6,511.9,179.0,226.1,533.3,159.2,737.8,271.6,173.6,353.7,50.1,163.9,28.0,382.8,373.6,167.2,749.3,62.7,124.4,432.6,64.3
BODEGA_CALI,733.9,0.0,826.7,590.7,693.6,663.5,268.1,326.6,735.8,1281.2,750.3,837.3,767.5,843.3,75.1,873.7,200.7,936.9,352.7,601.1,1166.0,802.8,325.2,743.8,864.7,876.1,317.2,353.1,240.9,692.1,905.7,199.8,246.1,555.0,950.8,202.2,843.4,38.6,986.8,716.1,1083.3,693.4,845.7,755.2,351.3,360.6,868.6,99.4,744.6,808.0,304.4,797.5
C00001,117.0,826.7,0.0,237.2,210.1,195.7,571.1,504.3,92.2,612.2,91.4,392.1,87.2,49.9,758.4,54.8,630.2,136.0,475.3,238.3,541.5,148.8,505.6,82.9,155.8,58.9,510.9,474.4,595.4,140.7,91.7,627.5,593.7,279.8,124.8,629.7,199.4,827.0,246.6,276.1,258.1,166.9,54.2,116.2,477.0,467.5,187.2,832.4,82.3,36.6,531.9,70.1
C00002,148.4,590.7,237.2,0.0,155.4,133.6,341.9,267.1,149.2,760.5,172.2,395.2,179.7,260.4,523.7,283.1,393.1,348.9,238.4,46.4,663.2,258.0,268.4,154.5,293.2,285.4,274.0,237.7,358.2,102.4,315.4,392.3,363.9,51.7,360.4,392.6,291.3,592.5,418.0,229.8,492.7,120.8,263.6,173.6,240.0,230.5,307.1,601.9,154.9,222.9,294.9,209.2
C00003,96.9,693.6,210.1,155.4,0.0,245.4,470.1,369.5,172.3,613.1,208.3,244.7,122.8,255.3,634.2,228.9,493.2,263.1,348.8,115.1,511.3,312.9,371.0,160.7,173.3,228.6,382.4,350.0,452.8,111.3,247.4,504.8,490.4,156.3,304.0,491.4,150.9,702.3,293.2,84.2,421.4,57.2,259.8,94.5,349.6,341.5,174.9,721.2,157.1,221.1,389.3,145.2
C00004,179.7,663.5,195.7,133.6,245.4,0.0,398.0,359.6,114.2,793.6,104.4,487.9,191.9,191.9,591.3,250.5,477.5,330.7,327.1,172.3,710.5,141.6,360.5,131.3,317.1,254.5,360.4,324.7,449.4,138.5,287.4,464.6,420.7,183.5,314.5,478.1,337.8,658.3,431.0,329.3,445.3,190.6,193.1,206.3,329.4,319.9,341.5,656.2,135.1,164.5,391.1,210.9
C00005,490.0,268.1,571.1,341.9,470.1,398.0,0.0,125.5,479.0,1080.7,489.6,661.7,521.6,582.7,194.2,621.1,119.7,690.3,129.0,363.0,973.4,535.8,124.2,489.1,631.2,623.9,106.2,126.2,126.5,444.0,655.1,80.6,22.8,317.0,695.9,123.2,620.0,260.5,756.1,513.8,829.2,456.1,584.8,514.3,129.4,134.8,640.9,261.3,490.5,549.0,133.4,550.9
C00006,407.6,326.6,504.3,267.1,369.5,359.6,125.5,0.0,415.2,971.0,433.8,542.3,441.4,525.3,264.7,549.2,126.7,610.5,33.0,274.6,860.5,501.0,1.5,421.5,538.8,551.4,19.5,36.3,91.5,367.0,580.3,135.9,138.5,228.7,627.2,125.8,520.2,333.0,661.8,401.8,758.8,366.7,528.2,428.6,30.5,39.8,544.1,352.8,421.9,488.6,32.7,471.5
C00007,81.4,735.8,92.2,149.2,172.3,114.2,479.0,415.2,0.0,679.5,36.0,397.7,81.4,111.4,666.9,144.2,540.4,220.8,385.5,159.4,598.2,140.8,416.5,17.7,203.8,147.6,420.9,384.4,506.6,68.3,180.1,536.3,501.6,195.8,217.0,540.1,229.4,735.4,316.9,253.2,350.2,116.4,114.7,102.6,387.3,377.7,229.7,740.3,22.0,73.7,443.7,97.0
C00008,623.7,1281.2,612.2,760.5,613.1,793.6,1080.7,971.0,679.5,0.0,697.1,450.5,603.5,643.4,1230.6,562.0,1086.4,483.1,955.3,726.5,121.7,753.1,972.5,662.3,477.4,557.3,986.4,957.1,1044.2,672.8,528.7,1106.6,1100.1,769.4,537.1,1083.8,469.2,1296.1,365.6,569.2,478.2,639.8,645.6,595.7,955.5,948.4,456.5,1322.9,658.5,648.7,984.7,582.7
C00009,116.2,750.3,91.4,172.2,208.3,104.4,489.6,433.8,36.0,697.1,0.0,431.2,110.6,93.2,680.1,146.2,557.5,227.0,403.1,188.9,620.0,104.7,435.0,49.5,226.1,150.3,438.1,401.6,525.2,103.0,183.1,550.5,512.3,221.5,211.3,557.5,257.0,748.2,332.1,288.9,343.4,152.3,95.5,135.1,405.0,395.4,254.1,750.3,53.8,61.0,463.3,119.6
C00010,316.7,837.3,392.1,395.2,244.7,487.9,661.7,542.3,397.7,450.5,431.2,0.0,322.4,441.8,791.9,377.1,648.2,353.2,532.8,350.3,331.3,529.5,543.8,381.9,253.0,373.8,559.7,535.5,605.8,350.0,370.8,674.2,678.5,380.8,422.8,645.2,198.8,855.1,284.7,165.4,487.9,297.3,446.0,296.1,532.5,526.9,223.1,887.0,377.5,419.2,550.5,324.9
