zona,dia_semana,hora,velocidad_promedio,flujo_vehicular,nivel_congestion,factor_congestion,velocidad_ajustada,categoria_hora,es_fin_semana
Centro,0,0,46.5,223,94.0,0.94,33.387,Bajo,0
Centro,0,1,49.5,740,37.0,0.37,44.0055,Bajo,0
Centro,0,2,40.2,749,42.8,0.428,35.038320000000006,Bajo,0
Centro,0,3,49.7,774,85.3,0.853,36.981770000000004,Bajo,0
Centro,0,4,42.9,369,85.1,0.851,31.94763,Bajo,0
Centro,0,5,43.2,218,55.7,0.557,35.98128,Bajo,0
Centro,0,6,49.4,587,57.0,0.57,40.9526,Bajo,0
Centro,0,7,16.5,530,99.0,0.99,11.5995,Pico,0
Centro,0,8,17.1,462,87.7,0.877,12.600990000000001,Pico,0
Centro,0,9,26.1,587,70.2,0.7020000000000001,20.60334,Pico,0
Centro,0,10,33.6,305,80.9,0.809,25.44528,Normal,0
Centro,0,11,38.1,706,91.3,0.9129999999999999,27.66441,Normal,0
Centro,0,12,35.1,451,79.8,0.7979999999999999,26.697060000000004,Normal,0
Centro,0,13,36.5,591,79.6,0.7959999999999999,27.783800000000003,Normal,0
Centro,0,14,38.9,336,37.6,0.376,34.51208,Normal,0
Centro,0,15,30.9,504,3.6,0.036000000000000004,30.56628,Normal,0
Centro,0,16,34.7,479,28.7,0.287,31.712330000000005,Normal,0
Centro,0,17,23.9,121,3.7,0.037000000000000005,23.63471,Pico,0
Centro,0,18,27.3,352,12.7,0.127,26.25987,Pico,0
Centro,0,19,22.8,638,21.6,0.21600000000000003,21.322560000000003,Pico,0
Centro,0,20,46.2,159,5.2,0.052000000000000005,45.47928,Bajo,0
Centro,0,21,45.3,478,63.7,0.637,36.64317,Bajo,0
Centro,0,22,47.3,783,51.6,0.516,39.977959999999996,Bajo,0
Centro,0,23,43.2,656,27.1,0.271,39.68784,Bajo,0
Centro,1,0,44.4,154,2.5,0.025,44.067,Bajo,0
Centro,1,1,49.6,685,69.6,0.696,39.243520000000004,Bajo,0
Centro,1,2,44.1,221,15.6,0.156,42.036120000000004,Bajo,0
Centro,1,3,42.5,484,71.5,0.715,33.38375,Bajo,0
Centro,1,4,46.6,295,95.5,0.955,33.2491,Bajo,0
Centro,1,5,47.4,488,61.2,0.612,38.697359999999996,Bajo,0
Centro,1,6,44.2,273,35.6,0.35600000000000004,39.479440000000004,Bajo,0
Centro,1,7,26.4,110,11.6,0.11599999999999999,25.48128,Pico,0
Centro,1,8,15.7,128,85.5,0.855,11.67295,Pico,0
Centro,1,9,25.6,431,9.8,0.098,24.847360000000002,Pico,0
Centro,1,10,34.9,431,17.3,0.17300000000000001,33.08869,Normal,0
Centro,1,11,34.3,378,61.6,0.616,27.96136,Normal,0
Centro,1,12,36.4,131,37.5,0.375,32.305,Normal,0
Centro,1,13,36.3,452,85.6,0.856,26.978160000000003,Normal,0
Centro,1,14,36.6,214,7.1,0.071,35.82042,Normal,0
Centro,1,15,36.4,118,58.6,0.586,30.00088,Normal,0
Centro,1,16,39.4,502,38.8,0.38799999999999996,34.81384,Normal,0
Centro,1,17,24.6,420,54.6,0.546,20.570520000000002,Pico,0
Centro,1,18,29.1,370,96.1,0.961,20.71047,Pico,0
Centro,1,19,28.6,237,6.9,0.069,28.00798,Pico,0
Centro,1,20,41.0,112,9.4,0.094,39.8438,Bajo,0
Centro,1,21,46.8,149,31.9,0.319,42.321239999999996,Bajo,0
Centro,1,22,48.4,116,81.4,0.8140000000000001,36.58072,Bajo,0
Centro,1,23,42.8,182,69.7,0.6970000000000001,33.850519999999996,Bajo,0
Centro,2,0,46.3,714,73.5,0.735,36.090849999999996,Bajo,0
Centro,2,1,48.0,297,17.7,0.177,45.4512,Bajo,0
Centro,2,2,47.5,664,99.1,0.991,33.37825,Bajo,0
Centro,2,3,44.1,360,77.6,0.7759999999999999,33.83352000000001,Bajo,0
Centro,2,4,43.4,751,85.8,0.858,32.22884,Bajo,0
Centro,2,5,44.3,625,75.5,0.755,34.26605,Bajo,0
Centro,2,6,41.0,731,50.5,0.505,34.7885,Bajo,0
Centro,2,7,27.4,324,89.6,0.8959999999999999,20.03488,Pico,0
Centro,2,8,20.8,107,90.5,0.905,15.1528,Pico,0
Centro,2,9,16.4,323,95.0,0.95,11.726,Pico,0
Centro,2,10,39.5,501,63.2,0.632,32.0108,Normal,0
Centro,2,11,34.5,305,32.9,0.32899999999999996,31.09485,Normal,0
Centro,2,12,36.7,626,79.2,0.792,27.98008,Normal,0
Centro,2,13,37.9,163,49.4,0.494,32.28322,Normal,0
Centro,2,14,30.6,484,44.2,0.442,26.54244,Normal,0
Centro,2,15,38.9,345,11.7,0.11699999999999999,37.53461,Normal,0
Centro,2,16,31.4,633,61.8,0.618,25.578439999999997,Normal,0
Centro,2,17,16.5,158,70.1,0.701,13.030050000000001,Pico,0
Centro,2,18,16.1,675,70.6,0.706,12.69002,Pico,0
Centro,2,19,16.2,159,98.7,0.987,11.403179999999999,Pico,0
Centro,2,20,43.7,359,81.3,0.813,33.04157,Bajo,0
Centro,2,21,49.5,790,75.3,0.753,38.31795,Bajo,0
Centro,2,22,43.8,158,77.7,0.777,33.59022,Bajo,0
Centro,2,23,45.6,396,90.6,0.9059999999999999,33.20592,Bajo,0
Centro,3,0,41.1,444,1.1,0.011000000000000001,40.96437,Bajo,0
Centro,3,1,44.7,139,11.9,0.11900000000000001,43.10421,Bajo,0
Centro,3,2,41.2,554,74.6,0.746,31.979440000000004,Bajo,0
Centro,3,3,45.8,773,37.5,0.375,40.647499999999994,Bajo,0
Centro,3,4,42.9,708,22.4,0.22399999999999998,40.01712,Bajo,0
Centro,3,5,49.6,108,97.0,0.97,35.1664,Bajo,0
Centro,3,6,40.4,723,52.8,0.528,34.00064,Bajo,0
Centro,3,7,29.9,151,55.4,0.5539999999999999,24.930619999999998,Pico,0
Centro,3,8,29.5,466,62.9,0.629,23.93335,Pico,0
Centro,3,9,25.4,418,62.8,0.628,20.614639999999998,Pico,0
Centro,3,10,35.8,730,4.5,0.045,35.3167,Normal,0
Centro,3,11,32.8,765,89.0,0.89,24.042399999999997,Normal,0
Centro,3,12,34.6,534,27.7,0.27699999999999997,31.724740000000004,Normal,0
Centro,3,13,31.9,424,35.3,0.353,28.52179,Normal,0
Centro,3,14,35.8,154,97.4,0.9740000000000001,25.339239999999997,Normal,0
Centro,3,15,39.9,588,53.6,0.536,33.48408,Normal,0
Centro,3,16,33.1,669,68.5,0.685,26.29795,Normal,0
Centro,3,17,17.4,737,82.3,0.823,13.103939999999998,Pico,0
Centro,3,18,29.2,608,61.3,0.613,23.83012,Pico,0
Centro,3,19,21.3,752,86.6,0.866,15.766259999999999,Pico,0
Centro,3,20,40.5,118,37.6,0.376,35.9316,Bajo,0
Centro,3,21,48.1,791,15.0,0.15,45.9355,Bajo,0
Centro,3,22,45.9,366,97.0,0.97,32.5431,Bajo,0
Centro,3,23,48.4,686,46.9,0.469,41.59012,Bajo,0
Centro,4,0,44.1,291,5.6,0.055999999999999994,43.35912,Bajo,0
Centro,4,1,48.6,669,100.0,1.0,34.019999999999996,Bajo,0
Centro,4,2,50.0,488,76.9,0.769,38.464999999999996,Bajo,0
Centro,4,3,49.4,694,24.7,0.247,45.739459999999994,Bajo,0
Centro,4,4,44.5,190,95.4,0.9540000000000001,31.7641,Bajo,0
Centro,4,5,46.1,260,67.2,0.672,36.80624,Bajo,0
Centro,4,6,46.2,350,11.4,0.114,44.61996,Bajo,0
Centro,4,7,25.1,464,77.2,0.772,19.28684,Pico,0
Centro,4,8,22.8,696,55.2,0.552,19.024320000000003,Pico,0
Centro,4,9,23.4,713,40.3,0.40299999999999997,20.57094,Pico,0
Centro,4,10,31.3,120,75.5,0.755,24.21055,Normal,0
Centro,4,11,36.2,592,21.3,0.213,33.88682000000001,Normal,0
Centro,4,12,31.4,110,35.1,0.35100000000000003,28.09358,Normal,0
Centro,4,13,35.9,374,43.7,0.43700000000000006,31.19351,Normal,0
Centro,4,14,39.0,343,51.4,0.514,32.9862,Normal,0
Centro,4,15,37.8,377,62.2,0.622,30.746519999999997,Normal,0
Centro,4,16,38.6,764,14.7,0.147,36.89774,Normal,0
Centro,4,17,28.9,444,25.8,0.258,26.66314,Pico,0
Centro,4,18,21.9,786,49.3,0.493,18.660989999999998,Pico,0
Centro,4,19,19.9,543,24.0,0.24,18.4672,Pico,0
Centro,4,20,40.8,190,12.8,0.128,39.23328,Bajo,0
Centro,4,21,41.5,197,64.1,0.6409999999999999,33.51955,Bajo,0
Centro,4,22,41.8,341,89.7,0.897,30.551619999999996,Bajo,0
Centro,4,23,44.7,567,17.2,0.172,42.393480000000004,Bajo,0
Centro,5,0,51.9,128,16.9,0.16899999999999998,49.26867,Bajo,1
Centro,5,1,52.8,223,8.9,0.08900000000000001,51.39024,Bajo,1
Centro,5,2,51.2,422,20.6,0.20600000000000002,48.03584000000001,Bajo,1
Centro,5,3,53.6,452,69.0,0.69,42.5048,Bajo,1
Centro,5,4,50.4,659,62.8,0.628,40.90464,Bajo,1
Centro,5,5,50.8,711,92.1,0.9209999999999999,36.76396,Bajo,1
Centro,5,6,50.6,293,80.6,0.8059999999999999,38.36492,Bajo,1
Centro,5,7,36.2,229,20.9,0.209,33.930260000000004,Pico,1
Centro,5,8,30.6,439,61.8,0.618,24.92676,Pico,1
Centro,5,9,30.5,423,74.7,0.747,23.66495,Pico,1
Centro,5,10,40.4,276,71.3,0.713,31.75844,Normal,1
Centro,5,11,49.0,458,53.2,0.532,41.1796,Normal,1
Centro,5,12,41.1,413,53.3,0.5329999999999999,34.528110000000005,Normal,1
Centro,5,13,42.4,288,37.7,0.377,37.60456,Normal,1
Centro,5,14,40.2,325,21.1,0.21100000000000002,37.65534,Normal,1
Centro,5,15,43.3,183,89.1,0.8909999999999999,31.72591,Normal,1
Centro,5,16,45.9,575,78.9,0.789,35.03547,Normal,1
Centro,5,17,32.5,160,53.7,0.537,27.26425,Pico,1
Centro,5,18,33.8,621,43.2,0.43200000000000005,29.419519999999995,Pico,1
Centro,5,19,26.9,298,36.3,0.363,23.970589999999998,Pico,1
Centro,5,20,56.5,499,35.6,0.35600000000000004,50.4658,Bajo,1
Centro,5,21,59.9,524,23.7,0.237,55.641110000000005,Bajo,1
Centro,5,22,51.0,207,24.6,0.24600000000000002,47.236200000000004,Bajo,1
Centro,5,23,51.6,230,28.5,0.285,47.1882,Bajo,1
Centro,6,0,51.7,727,8.0,0.08,50.4592,Bajo,1
Centro,6,1,55.2,387,98.2,0.982,38.93808000000001,Bajo,1
Centro,6,2,51.1,378,96.9,0.9690000000000001,36.24523000000001,Bajo,1
Centro,6,3,58.7,671,25.8,0.258,54.156620000000004,Bajo,1
Centro,6,4,51.7,568,92.9,0.929,37.29121000000001,Bajo,1
Centro,6,5,55.6,500,28.0,0.28,50.9296,Bajo,1
Centro,6,6,57.7,230,32.4,0.324,52.09156000000001,Bajo,1
Centro,6,7,31.4,455,24.2,0.242,29.120359999999998,Pico,1
Centro,6,8,26.7,527,28.9,0.289,24.38511,Pico,1
Centro,6,9,33.7,208,48.1,0.48100000000000004,28.837090000000003,Pico,1
Centro,6,10,45.3,136,33.7,0.337,40.720169999999996,Normal,1
Centro,6,11,41.3,144,99.0,0.99,29.0339,Normal,1
Centro,6,12,43.2,666,25.5,0.255,39.8952,Normal,1
Centro,6,13,46.8,632,59.6,0.596,38.432159999999996,Normal,1
Centro,6,14,44.7,388,34.9,0.349,40.01991,Normal,1
Centro,6,15,49.3,681,96.5,0.965,35.02765,Normal,1
Centro,6,16,41.2,611,93.8,0.938,29.606320000000004,Normal,1
Centro,6,17,27.7,146,74.1,0.741,21.54229,Pico,1
Centro,6,18,33.6,689,14.0,0.14,32.1888,Pico,1
Centro,6,19,36.9,241,16.4,0.16399999999999998,35.08452,Pico,1
Centro,6,20,51.6,670,66.5,0.665,41.3058,Bajo,1
Centro,6,21,55.2,351,87.7,0.877,40.676880000000004,Bajo,1
Centro,6,22,53.9,671,43.9,0.439,46.801370000000006,Bajo,1
Centro,6,23,53.8,423,30.1,0.301,48.94186,Bajo,1
