id_vehiculo,tipo,capacidad_kg,consumo_galon_km,velocidad_promedio,bodega_base,anio,costo_hora,disponibilidad,eficiencia_kg_galon,antiguedad_anios,estado_vehiculo,disponible
V001,Automovil,200,0.08,40,Medellin,2022,19000,disponible,2500.0,2,Nuevo,1
V002,Motocicleta,50,0.02,45,Medellin,2017,16000,disponible,2500.0,7,Medio,1
V003,Automovil,200,0.08,40,Medellin,2019,19000,disponible,2500.0,5,Medio,1
V004,Camioneta,500,0.12,35,Medellin,2020,25000,disponible,4166.666666666667,4,Medio,1
V005,Camioneta,500,0.12,35,Medellin,2020,25000,disponible,4166.666666666667,4,Medio,1
V006,Bus,2000,0.25,25,Medellin,2015,55000,disponible,8000.0,9,Antiguo,1
V007,Camioneta,500,0.12,35,Medellin,2023,25000,disponible,4166.666666666667,1,Nuevo,1
V008,Camioneta,500,0.12,35,Medellin,2017,25000,disponible,4166.666666666667,7,Medio,1
V009,Bus,2000,0.25,25,Medellin,2023,55000,disponible,8000.0,1,Nuevo,1
V010,Camioneta,500,0.12,35,Medellin,2019,25000,disponible,4166.666666666667,5,Medio,1
V011,Motocicleta,50,0.02,45,Medellin,2023,16000,en_ruta,2500.0,1,Nuevo,0
V012,Camion,1500,0.2,30,Medellin,2023,45000,disponible,7500.0,1,Nuevo,1
V013,Automovil,200,0.08,40,Medellin,2021,19000,disponible,2500.0,3,Nuevo,1
V014,Camion,1500,0.2,30,Medellin,2017,45000,en_ruta,7500.0,7,Medio,0
V015,Automovil,200,0.08,40,Medellin,2022,19000,en_mantenimiento,2500.0,2,Nuevo,0
V016,Automovil,200,0.08,40,Medellin,2020,19000,disponible,2500.0,4,Medio,1
V017,Motocicleta,50,0.02,45,Medellin,2016,16000,en_mantenimiento,2500.0,8,Medio,0
V018,Bus,2000,0.25,25,Medellin,2018,55000,disponible,8000.0,6,Medio,1
V019,Bus,2000,0.25,25,Medellin,2022,55000,disponible,8000.0,2,Nuevo,1
V020,Camioneta,500,0.12,35,Medellin,2022,25000,en_mantenimiento,4166.666666666667,2,Nuevo,0
V021,Camioneta,500,0.12,35,Medellin,2019,25000,disponible,4166.666666666667,5,Medio,1
V022,Bus,2000,0.25,25,Medellin,2023,55000,disponible,8000.0,1,Nuevo,1
V023,Motocicleta,50,0.02,45,Medellin,2023,16000,en_ruta,2500.0,1,Nuevo,0
V024,Camion,1500,0.2,30,Medellin,2022,45000,disponible,7500.0,2,Nuevo,1
V025,Camion,1500,0.2,30,Medellin,2015,45000,disponible,7500.0,9,Antiguo,1
V026,Camion,1500,0.2,30,Medellin,2019,45000,en_ruta,7500.0,5,Medio,0
V027,Camioneta,500,0.12,35,Medellin,2021,25000,en_ruta,4166.666666666667,3,Nuevo,0
V028,Automovil,200,0.08,40,Medellin,2015,19000,disponible,2500.0,9,Antiguo,1
V029,Automovil,200,0.08,40,Medellin,2022,19000,disponible,2500.0,2,Nuevo,1
V030,Camioneta,500,0.12,35,Medellin,2020,25000,en_ruta,4166.666666666667,4,Medio,0
V031,Automovil,200,0.08,40,Medellin,2019,19000,en_ruta,2500.0,5,Medio,0
V032,Camion,1500,0.2,30,Medellin,2019,45000,disponible,7500.0,5,Medio,1
V033,Camion,1500,0.2,30,Medellin,2021,45000,disponible,7500.0,3,Nuevo,1
V034,Camioneta,500,0.12,35,Medellin,2017,25000,disponible,4166.666666666667,7,Medio,1
V035,Camioneta,500,0.12,35,Medellin,2018,25000,disponible,4166.666666666667,6,Medio,1
V036,Camioneta,500,0.12,35,Medellin,2019,25000,disponible,4166.666666666667,5,Medio,1
V037,Automovil,200,0.08,40,Medellin,2018,19000,en_ruta,2500.0,6,Medio,0
V038,Camioneta,500,0.12,35,Medellin,2017,25000,disponible,4166.666666666667,7,Medio,1
V039,Bus,2000,0.25,25,Medellin,2023,55000,disponible,8000.0,1,Nuevo,1
V040,Automovil,200,0.08,40,Medellin,2018,19000,en_ruta,2500.0,6,Medio,0
V041,Camioneta,500,0.12,35,Medellin,2021,25000,en_ruta,4166.666666666667,3,Nuevo,0
V042,Automovil,200,0.08,40,Medellin,2015,19000,disponible,2500.0,9,Antiguo,1
V043,Camioneta,500,0.12,35,Medellin,2023,25000,en_mantenimiento,4166.666666666667,1,Nuevo,0
V044,Camion,1500,0.2,30,Medellin,2021,45000,disponible,7500.0,3,Nuevo,1
V045,Camioneta,500,0.12,35,Medellin,2019,25000,disponible,4166.666666666667,5,Medio,1
V046,Automovil,200,0.08,40,Medellin,2022,19000,en_ruta,2500.0,2,Nuevo,0
V047,Automovil,200,0.08,40,Medellin,2022,19000,disponible,2500.0,2,Nuevo,1
V048,Automovil,200,0.08,40,Medellin,2015,19000,disponible,2500.0,9,Antiguo,1
V049,Automovil,200,0.08,40,Medellin,2021,19000,disponible,2500.0,3,Nuevo,1
V050,Automovil,200,0.08,40,Medellin,2015,19000,en_ruta,2500.0,9,Antiguo,0
V051,Automovil,200,0.08,40,Cali,2016,19000,disponible,2500.0,8,Medio,1
V052,Motocicleta,50,0.02,45,Cali,2019,16000,disponible,2500.0,5,Medio,1
V053,Camioneta,500,0.12,35,Cali,2016,25000,disponible,4166.666666666667,8,Medio,1
V054,Automovil,200,0.08,40,Cali,2020,19000,disponible,2500.0,4,Medio,1
V055,Camioneta,500,0.12,35,Cali,2022,25000,disponible,4166.666666666667,2,Nuevo,1
V056,Camioneta,500,0.12,35,Cali,2022,25000,disponible,4166.666666666667,2,Nuevo,1
V057,Bus,2000,0.25,25,Cali,2020,55000,disponible,8000.0,4,Medio,1
V058,Motocicleta,50,0.02,45,Cali,2015,16000,disponible,2500.0,9,Antiguo,1
V059,Camioneta,500,0.12,35,Cali,2017,25000,disponible,4166.666666666667,7,Medio,1
V060,Camioneta,500,0.12,35,Cali,2017,25000,disponible,4166.666666666667,7,Medio,1
V061,Camion,1500,0.2,30,Cali,2018,45000,disponible,7500.0,6,Medio,1
V062,Motocicleta,50,0.02,45,Cali,2015,16000,disponible,2500.0,9,Antiguo,1
V063,Camioneta,500,0.12,35,Cali,2022,25000,disponible,4166.666666666667,2,Nuevo,1
V064,Automovil,200,0.08,40,Cali,2023,19000,disponible,2500.0,1,Nuevo,1
V065,Camioneta,500,0.12,35,Cali,2017,25000,disponible,4166.666666666667,7,Medio,1
V066,Motocicleta,50,0.02,45,Cali,2023,16000,disponible,2500.0,1,Nuevo,1
V067,Automovil,200,0.08,40,Cali,2015,19000,disponible,2500.0,9,Antiguo,1
V068,Camion,1500,0.2,30,Cali,2019,45000,en_ruta,7500.0,5,Medio,0
V069,Motocicleta,50,0.02,45,Cali,2023,16000,disponible,2500.0,1,Nuevo,1
V070,Camioneta,500,0.12,35,Cali,2017,25000,en_ruta,4166.666666666667,7,Medio,0
V071,Automovil,200,0.08,40,Cali,2015,19000,disponible,2500.0,9,Antiguo,1
V072,Motocicleta,50,0.02,45,Cali,2022,16000,en_mantenimiento,2500.0,2,Nuevo,0
V073,Camioneta,500,0.12,35,Cali,2017,25000,disponible,4166.666666666667,7,Medio,1
V074,Bus,2000,0.25,25,Cali,2023,55000,disponible,8000.0,1,Nuevo,1
V075,Motocicleta,50,0.02,45,Cali,2016,16000,disponible,2500.0,8,Medio,1
V076,Automovil,200,0.08,40,Cali,2023,19000,disponible,2500.0,1,Nuevo,1
V077,Motocicleta,50,0.02,45,Cali,2019,16000,disponible,2500.0,5,Medio,1
V078,Automovil,200,0.08,40,Cali,2022,19000,en_mantenimiento,2500.0,2,Nuevo,0
V079,Camioneta,500,0.12,35,Cali,2015,25000,disponible,4166.666666666667,9,Antiguo,1
V080,Camioneta,500,0.12,35,Cali,2020,25000,disponible,4166.666666666667,4,Medio,1
V081,Automovil,200,0.08,40,Cali,2020,19000,en_ruta,2500.0,4,Medio,0
V082,Automovil,200,0.08,40,Cali,2022,19000,disponible,2500.0,2,Nuevo,1
V083,Camion,1500,0.2,30,Cali,2015,45000,disponible,7500.0,9,Antiguo,1
V084,Automovil,200,0.08,40,Cali,2019,19000,disponible,2500.0,5,Medio,1
V085,Automovil,200,0.08,40,Cali,2018,19000,disponible,2500.0,6,Medio,1
