id_cliente,nombre,municipio,departamento,latitud,longitud,capacidad_kg,horario_apertura,horario_cierre,prioridad,frecuencia_entrega,valor_pedido
C00001,Cliente SANTO DOMINGO 1,SANTO DOMINGO,ANTIOQUIA,6.49290585147441,-75.15526357840535,1000,06:00,19:00,3,diario,2323282.0152310426
C00002,Cliente VALPARAÍSO 2,VALPARAÍSO,ANTIOQUIA,5.6559824024697285,-75.62251121688816,1000,07:00,20:00,3,semanal,950033.587675148
C00003,Cliente BETULIA 3,BETULIA,ANTIOQUIA,6.190482872385108,-75.95202633358048,1000,09:00,17:00,2,semanal,740494.6102276071
C00004,Cliente ARGELIA 4,ARGELIA,ANTIOQUIA,5.706357323368682,-75.08329091154428,200,09:00,19:00,3,semanal,4306705.013344787
C00005,Cliente CAICEDONIA 5,CAICEDONIA,VALLE DEL CAUCA,4.295818937947492,-75.8541236062806,500,06:00,20:00,3,semanal,129032.94849006025
C00006,Cliente ARGELIA 6,ARGELIA,VALLE DEL CAUCA,4.711657185060487,-76.14404389025042,500,06:00,20:00,1,mensual,1330960.9089200837
C00007,Cliente EL SANTUARIO 7,EL SANTUARIO,ANTIOQUIA,6.134423951412706,-75.25511654502034,100,09:00,18:00,1,mensual,2276282.96018034
C00008,Cliente ARBOLETES 8,ARBOLETES,ANTIOQUIA,8.620486141834258,-76.42172153924777,500,06:00,18:00,2,semanal,1393177.7072807848
C00009,Cliente GRANADA 9,GRANADA,ANTIOQUIA,6.1268507676265545,-75.10902624770944,500,09:00,17:00,2,mensual,419025.6862148656
C00010,Cliente MURINDÓ 10,MURINDÓ,ANTIOQUIA,6.825709914228255,-76.71281822927298,200,08:00,17:00,3,mensual,3049501.8751660064
C00011,Cliente COPACABANA 11,COPACABANA,ANTIOQUIA,6.368481280021752,-75.48675478688841,500,07:00,17:00,1,semanal,1659657.4440323978
C00012,Cliente SAN ROQUE 12,SAN ROQUE,ANTIOQUIA,6.469817122508309,-74.95408432828039,200,06:00,19:00,2,mensual,3815885.9906536425
C00013,Cliente EL CERRITO 13,EL CERRITO,VALLE DEL CAUCA,3.6558246968545753,-76.30750852682472,100,07:00,20:00,2,diario,3200231.535755713
C00014,Cliente GÓMEZ PLATA 14,GÓMEZ PLATA,ANTIOQUIA,6.7120938618790555,-75.18488226654294,1000,08:00,19:00,3,mensual,1182550.919183531
C00015,Cliente TRUJILLO 15,TRUJILLO,VALLE DEL CAUCA,4.237222734659541,-76.33513559267841,500,07:00,18:00,3,semanal,4363729.921429203
C00016,Cliente CAMPAMENTO 16,CAMPAMENTO,ANTIOQUIA,7.024755095488673,-75.29100138208518,200,09:00,18:00,2,semanal,4538800.785651483
C00017,Cliente ANSERMANUEVO 17,ANSERMANUEVO,VALLE DEL CAUCA,4.785044698501678,-76.03254617845495,500,06:00,17:00,2,diario,2693742.6259084377
C00018,Cliente JERICÓ 18,JERICÓ,ANTIOQUIA,5.758704848418829,-75.78008794530666,500,09:00,19:00,2,semanal,2812604.909985839
C00019,Cliente TURBO 19,TURBO,ANTIOQUIA,8.15644743488436,-76.58388108344263,500,07:00,19:00,3,semanal,1459960.4471684648
C00020,Cliente PUERTO NARE 20,PUERTO NARE,ANTIOQUIA,6.117210379571011,-74.6841126217667,500,07:00,19:00,2,mensual,1235831.3588015134
C00021,Cliente ARGELIA 21,ARGELIA,VALLE DEL CAUCA,4.705525247332686,-76.14373866341708,500,08:00,19:00,2,semanal,4025541.7940804847
C00022,Cliente MARINILLA 22,MARINILLA,ANTIOQUIA,6.190497383223743,-75.29953814156957,200,08:00,20:00,3,diario,2565583.9448665576
