zona,dia_semana,hora,velocidad_promedio,flujo_vehicular,nivel_congestion
Centro,0,0,46.5,223,94.0
Centro,0,1,49.5,740,37.0
Centro,0,2,40.2,749,42.8
Centro,0,3,49.7,774,85.3
Centro,0,4,42.9,369,85.1
Centro,0,5,43.2,218,55.7
Centro,0,6,49.4,587,57.0
Centro,0,7,16.5,530,99.0
Centro,0,8,17.1,462,87.7
Centro,0,9,26.1,587,70.2
Centro,0,10,33.6,305,80.9
Centro,0,11,38.1,706,91.3
Centro,0,12,35.1,451,79.8
Centro,0,13,36.5,591,79.6
Centro,0,14,38.9,336,37.6
Centro,0,15,30.9,504,3.6
Centro,0,16,34.7,479,28.7
Centro,0,17,23.9,121,3.7
Centro,0,18,27.3,352,12.7
Centro,0,19,22.8,638,21.6
Centro,0,20,46.2,159,5.2
Centro,0,21,45.3,478,63.7
Centro,0,22,47.3,783,51.6
Centro,0,23,43.2,656,27.1
Centro,1,0,44.4,154,2.5
Centro,1,1,49.6,685,69.6
Centro,1,2,44.1,221,15.6
Centro,1,3,42.5,484,71.5
Centro,1,4,46.6,295,95.5
Centro,1,5,47.4,488,61.2
Centro,1,6,44.2,273,35.6
Centro,1,7,26.4,110,11.6
Centro,1,8,15.7,128,85.5
Centro,1,9,25.6,431,9.8
Centro,1,10,34.9,431,17.3
Centro,1,11,34.3,378,61.6
Centro,1,12,36.4,131,37.5
Centro,1,13,36.3,452,85.6
Centro,1,14,36.6,214,7.1
Centro,1,15,36.4,118,58.6
Centro,1,16,39.4,502,38.8
Centro,1,17,24.6,420,54.6
Centro,1,18,29.1,370,96.1
Centro,1,19,28.6,237,6.9
Centro,1,20,41.0,112,9.4
Centro,1,21,46.8,149,31.9
Centro,1,22,48.4,116,81.4
Centro,1,23,42.8,182,69.7
Centro,2,0,46.3,714,73.5
Centro,2,1,48.0,297,17.7
Centro,2,2,47.5,664,99.1
Centro,2,3,44.1,360,77.6
Centro,2,4,43.4,751,85.8
Centro,2,5,44.3,625,75.5
Centro,2,6,41.0,731,50.5
Centro,2,7,27.4,324,89.6
Centro,2,8,20.8,107,90.5
Centro,2,9,16.4,323,95.0
Centro,2,10,39.5,501,63.2
Centro,2,11,34.5,305,32.9
Centro,2,12,36.7,626,79.2
Centro,2,13,37.9,163,49.4
Centro,2,14,30.6,484,44.2
Centro,2,15,38.9,345,11.7
Centro,2,16,31.4,633,61.8
Centro,2,17,16.5,158,70.1
Centro,2,18,16.1,675,70.6
Centro,2,19,16.2,159,98.7
Centro,2,20,43.7,359,81.3
Centro,2,21,49.5,790,75.3
Centro,2,22,43.8,158,77.7
Centro,2,23,45.6,396,90.6
Centro,3,0,41.1,444,1.1
Centro,3,1,44.7,139,11.9
Centro,3,2,41.2,554,74.6
Centro,3,3,45.8,773,37.5
Centro,3,4,42.9,708,22.4
Centro,3,5,49.6,108,97.0
Centro,3,6,40.4,723,52.8
Centro,3,7,29.9,151,55.4
Centro,3,8,29.5,466,62.9
Centro,3,9,25.4,418,62.8
Centro,3,10,35.8,730,4.5
Centro,3,11,32.8,765,89.0
Centro,3,12,34.6,534,27.7
Centro,3,13,31.9,424,35.3
Centro,3,14,35.8,154,97.4
Centro,3,15,39.9,588,53.6
Centro,3,16,33.1,669,68.5
Centro,3,17,17.4,737,82.3
Centro,3,18,29.2,608,61.3
Centro,3,19,21.3,752,86.6
Centro,3,20,40.5,118,37.6
Centro,3,21,48.1,791,15.0
Centro,3,22,45.9,366,97.0
Centro,3,23,48.4,686,46.9
Centro,4,0,44.1,291,5.6
Centro,4,1,48.6,669,100.0
Centro,4,2,50.0,488,76.9
Centro,4,3,49.4,694,24.7
Centro,4,4,44.5,190,95.4
Centro,4,5,46.1,260,67.2
Centro,4,6,46.2,350,11.4
Centro,4,7,25.1,464,77.2
Centro,4,8,22.8,696,55.2
Centro,4,9,23.4,713,40.3
Centro,4,10,31.3,120,75.5
Centro,4,11,36.2,592,21.3
Centro,4,12,31.4,110,35.1
Centro,4,13,35.9,374,43.7
Centro,4,14,39.0,343,51.4
Centro,4,15,37.8,377,62.2
Centro,4,16,38.6,764,14.7
Centro,4,17,28.9,444,25.8
Centro,4,18,21.9,786,49.3
Centro,4,19,19.9,543,24.0
Centro,4,20,40.8,190,12.8
Centro,4,21,41.5,197,64.1
Centro,4,22,41.8,341,89.7
Centro,4,23,44.7,567,17.2
Centro,5,0,51.9,128,16.9
Centro,5,1,52.8,223,8.9
Centro,5,2,51.2,422,20.6
Centro,5,3,53.6,452,69.0
Centro,5,4,50.4,659,62.8
Centro,5,5,50.8,711,92.1
Centro,5,6,50.6,293,80.6
Centro,5,7,36.2,229,20.9
Centro,5,8,30.6,439,61.8
Centro,5,9,30.5,423,74.7
Centro,5,10,40.4,276,71.3
Centro,5,11,49.0,458,53.2
Centro,5,12,41.1,413,53.3
Centro,5,13,42.4,288,37.7
Centro,5,14,40.2,325,21.1
Centro,5,15,43.3,183,89.1
Centro,5,16,45.9,575,78.9
Centro,5,17,32.5,160,53.7
Centro,5,18,33.8,621,43.2
Centro,5,19,26.9,298,36.3
Centro,5,20,56.5,499,35.6
Centro,5,21,59.9,524,23.7
Centro,5,22,51.0,207,24.6
Centro,5,23,51.6,230,28.5
Centro,6,0,51.7,727,8.0
