vehiculo_id,orden,location_idx,id,nombre,latitud,longitud,demanda
1,0,0,B001,Bodega Medellin,6.2518,-75.5636,0
1,1,15,C00015,Cliente TRUJILLO 15,4.237222734659541,-76.33513559267841,500
1,2,13,C00013,Cliente EL CERRITO 13,3.6558246968545753,-76.30750852682472,100
1,3,5,C00005,Cliente CAICEDONIA 5,4.295818937947492,-75.8541236062806,500
1,4,4,C00004,Cliente ARGELIA 4,5.706357323368682,-75.08329091154428,200
1,5,20,C00020,Cliente PUERTO NARE 20,6.117210379571011,-74.6841126217667,500
1,6,12,C00012,Cliente SAN ROQUE 12,6.469817122508309,-74.95408432828039,200
1,7,0,DEPOT,Fin de Ruta,6.2518,-75.5636,0
2,0,0,B001,Bodega Medellin,6.2518,-75.5636,0
2,1,2,C00002,Cliente VALPARAÍSO 2,5.6559824024697285,-75.62251121688816,1000
2,2,17,C00017,Cliente ANSERMANUEVO 17,4.785044698501678,-76.03254617845495,500
2,3,6,C00006,Cliente ARGELIA 6,4.711657185060487,-76.14404389025042,500
2,4,0,DEPOT,Fin de Ruta,6.2518,-75.5636,0
3,0,0,B001,Bodega Medellin,6.2518,-75.5636,0
3,1,14,C00014,Cliente GÓMEZ PLATA 14,6.712093861879056,-75.18488226654294,1000
3,2,1,C00001,Cliente SANTO DOMINGO 1,6.49290585147441,-75.15526357840535,1000
3,3,0,DEPOT,Fin de Ruta,6.2518,-75.5636,0
4,0,0,B001,Bodega Medellin,6.2518,-75.5636,0
4,1,11,C00011,Cliente COPACABANA 11,6.368481280021752,-75.48675478688841,500
4,2,3,C00003,Cliente BETULIA 3,6.190482872385108,-75.95202633358048,1000
4,3,18,C00018,Cliente JERICÓ 18,5.758704848418829,-75.78008794530666,500
4,4,0,DEPOT,Fin de Ruta,6.2518,-75.5636,0
5,0,0,B001,Bodega Medellin,6.2518,-75.5636,0
5,1,10,C00010,Cliente MURINDÓ 10,6.825709914228255,-76.71281822927298,200
5,2,19,C00019,Cliente TURBO 19,8.15644743488436,-76.58388108344263,500
5,3,8,C00008,Cliente ARBOLETES 8,8.620486141834258,-76.42172153924777,500
5,4,16,C00016,Cliente CAMPAMENTO 16,7.024755095488673,-75.29100138208518,200
5,5,9,C00009,Cliente GRANADA 9,6.1268507676265545,-75.10902624770944,500
5,6,7,C00007,Cliente EL SANTUARIO 7,6.134423951412706,-75.25511654502034,100
5,7,0,DEPOT,Fin de Ruta,6.2518,-75.5636,0
