id_cliente,nombre,municipio,departamento,latitud,longitud,capacidad_kg,horario_apertura,horario_cierre,prioridad,frecuencia_entrega,valor_pedido,apertura_minutos,cierre_minutos,ventana_horas,categoria_volumen
C00001,Cliente SANTO DOMINGO 1,SANTO DOMINGO,ANTIOQUIA,6.49290585147441,-75.15526357840535,1000,06:00,19:00,3,diario,2323282.015231042,360,1140,13.0,Grande
C00002,Cliente VALPARAÍSO 2,VALPARAÍSO,ANTIOQUIA,5.6559824024697285,-75.62251121688816,1000,07:00,20:00,3,semanal,950033.587675148,420,1200,13.0,Grande
C00003,Cliente BETULIA 3,BETULIA,ANTIOQUIA,6.190482872385108,-75.95202633358048,1000,09:00,17:00,2,semanal,740494.6102276071,540,1020,8.0,Grande
C00004,Cliente ARGELIA 4,ARGELIA,ANTIOQUIA,5.706357323368682,-75.08329091154428,200,09:00,19:00,3,semanal,4306705.013344787,540,1140,10.0,Mediano
C00005,Cliente CAICEDONIA 5,CAICEDONIA,VALLE DEL CAUCA,4.295818937947492,-75.8541236062806,500,06:00,20:00,3,semanal,129032.94849006024,360,1200,14.0,Mediano
C00006,Cliente ARGELIA 6,ARGELIA,VALLE DEL CAUCA,4.711657185060487,-76.14404389025042,500,06:00,20:00,1,mensual,1330960.9089200837,360,1200,14.0,Mediano
C00007,Cliente EL SANTUARIO 7,EL SANTUARIO,ANTIOQUIA,6.134423951412706,-75.25511654502034,100,09:00,18:00,1,mensual,2276282.96018034,540,1080,9.0,Pequeno
C00008,Cliente ARBOLETES 8,ARBOLETES,ANTIOQUIA,8.620486141834258,-76.42172153924777,500,06:00,18:00,2,semanal,1393177.7072807848,360,1080,12.0,Mediano
C00009,Cliente GRANADA 9,GRANADA,ANTIOQUIA,6.1268507676265545,-75.10902624770944,500,09:00,17:00,2,mensual,419025.6862148656,540,1020,8.0,Mediano
C00010,Cliente MURINDÓ 10,MURINDÓ,ANTIOQUIA,6.825709914228255,-76.71281822927298,200,08:00,17:00,3,mensual,3049501.8751660064,480,1020,9.0,Mediano
C00011,Cliente COPACABANA 11,COPACABANA,ANTIOQUIA,6.368481280021752,-75.48675478688841,500,07:00,17:00,1,semanal,1659657.4440323978,420,1020,10.0,Mediano
C00012,Cliente SAN ROQUE 12,SAN ROQUE,ANTIOQUIA,6.469817122508309,-74.95408432828039,200,06:00,19:00,2,mensual,3815885.9906536425,360,1140,13.0,Mediano
C00013,Cliente EL CERRITO 13,EL CERRITO,VALLE DEL CAUCA,3.6558246968545753,-76.30750852682472,100,07:00,20:00,2,diario,3200231.535755713,420,1200,13.0,Pequeno
C00014,Cliente GÓMEZ PLATA 14,GÓMEZ PLATA,ANTIOQUIA,6.712093861879056,-75.18488226654294,1000,08:00,19:00,3,mensual,1182550.919183531,480,1140,11.0,Grande
C00015,Cliente TRUJILLO 15,TRUJILLO,VALLE DEL CAUCA,4.237222734659541,-76.33513559267841,500,07:00,18:00,3,semanal,4363729.921429203,420,1080,11.0,Mediano
C00016,Cliente CAMPAMENTO 16,CAMPAMENTO,ANTIOQUIA,7.024755095488673,-75.29100138208518,200,09:00,18:00,2,semanal,4538800.785651483,540,1080,9.0,Mediano
C00017,Cliente ANSERMANUEVO 17,ANSERMANUEVO,VALLE DEL CAUCA,4.785044698501678,-76.03254617845495,500,06:00,17:00,2,diario,2693742.6259084377,360,1020,11.0,Mediano
C00018,Cliente JERICÓ 18,JERICÓ,ANTIOQUIA,5.758704848418829,-75.78008794530666,500,09:00,19:00,2,semanal,2812604.909985839,540,1140,10.0,Mediano
C00019,Cliente TURBO 19,TURBO,ANTIOQUIA,8.15644743488436,-76.58388108344263,500,07:00,19:00,3,semanal,1459960.4471684648,420,1140,12.0,Mediano
C00020,Cliente PUERTO NARE 20,PUERTO NARE,ANTIOQUIA,6.117210379571011,-74.6841126217667,500,07:00,19:00,2,mensual,1235831.3588015134,420,1140,12.0,Mediano
C00021,Cliente ARGELIA 21,ARGELIA,VALLE DEL CAUCA,4.705525247332686,-76.14373866341708,500,08:00,19:00,2,semanal,4025541.7940804847,480,1140,11.0,Mediano
C00022,Cliente MARINILLA 22,MARINILLA,ANTIOQUIA,6.190497383223743,-75.29953814156957,200,08:00,20:00,3,diario,2565583.9448665576,480,1200,12.0,Mediano
C00023,Cliente SAN JOSÉ DE LA MONTAÑA 23,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,6.837593265192549,-75.68466990379193,500,08:00,18:00,3,semanal,3243605.312526777,480,1080,10.0,Mediano
C00024,Cliente GÓMEZ PLATA 24,GÓMEZ PLATA,ANTIOQUIA,6.727183769579584,-75.19680002915649,100,09:00,17:00,3,mensual,1084904.5226516826,540,1020,8.0,Pequeno
C00025,Cliente TORO 25,TORO,VALLE DEL CAUCA,4.653514853135239,-76.09074409489139,500,09:00,18:00,3,semanal,1341104.4154105247,540,1080,9.0,Mediano
C00026,Cliente ANSERMANUEVO 26,ANSERMANUEVO,VALLE DEL CAUCA,4.779651402712236,-76.01374185968187,1000,09:00,19:00,2,semanal,3516771.258365218,540,1140,10.0,Grande
C00027,Cliente BOLÍVAR 27,BOLÍVAR,VALLE DEL CAUCA,4.407371832675123,-76.35364006491511,50,09:00,20:00,1,diario,4497843.233209042,540,1200,11.0,Pequeno
C00028,Cliente RETIRO 28,RETIRO,ANTIOQUIA,6.056671718857459,-75.52084673933753,50,08:00,17:00,1,diario,2766232.2573646014,480,1020,9.0,Pequeno
C00029,Cliente GUADALUPE 29,GUADALUPE,ANTIOQUIA,6.859513290719449,-75.20613473149557,500,06:00,20:00,2,semanal,3745132.45533422,360,1200,14.0,Mediano
C00030,Cliente ANDALUCÍA 30,ANDALUCÍA,VALLE DEL CAUCA,4.163081048922263,-76.15179581302992,50,09:00,20:00,3,semanal,1289786.0020976416,540,1200,11.0,Pequeno
C00031,Cliente SEVILLA 31,SEVILLA,VALLE DEL CAUCA,4.2123323411900975,-75.89245772101333,200,08:00,18:00,2,semanal,3361174.095332343,480,1080,10.0,Mediano
C00032,Cliente JARDÍN 32,JARDÍN,ANTIOQUIA,5.57441207419539,-75.81554558203163,50,09:00,17:00,3,semanal,1433823.691893955,540,1020,8.0,Pequeno
C00033,Cliente AMALFI 33,AMALFI,ANTIOQUIA,6.9725951910102175,-75.00062103533884,1000,06:00,18:00,3,mensual,4272396.804563432,360,1080,12.0,Grande
C00034,Cliente TRUJILLO 34,TRUJILLO,VALLE DEL CAUCA,4.247313582860674,-76.35025010979375,100,06:00,18:00,3,semanal,2871802.7919423566,360,1080,12.0,Pequeno
C00035,Cliente BURITICÁ 35,BURITICÁ,ANTIOQUIA,6.797421638704615,-75.90522020932704,100,08:00,19:00,2,semanal,4250915.484877138,480,1140,11.0,Pequeno
C00036,Cliente CANDELARIA 36,CANDELARIA,VALLE DEL CAUCA,3.3901909273594844,-76.38879698395121,1000,07:00,19:00,3,semanal,3076992.8687851187,420,1140,12.0,Grande
C00037,Cliente ITUANGO 37,ITUANGO,ANTIOQUIA,7.342003413954437,-75.6783621182125,1000,09:00,17:00,1,semanal,301304.2286450148,540,1020,8.0,Grande
C00038,Cliente URRAO 38,URRAO,ANTIOQUIA,6.328861146274062,-76.26404150189441,100,09:00,19:00,3,semanal,817456.0028023338,540,1140,10.0,Pequeno
C00039,Cliente ZARAGOZA 39,ZARAGOZA,ANTIOQUIA,7.487561346082775,-74.84406707526753,50,09:00,18:00,3,semanal,678949.5376268297,540,1080,9.0,Pequeno
C00040,Cliente ANGELÓPOLIS 40,ANGELÓPOLIS,ANTIOQUIA,6.132230045123944,-75.72731681890014,1000,08:00,20:00,3,diario,2086201.8300305589,480,1200,12.0,Grande
C00041,Cliente SAN ROQUE 41,SAN ROQUE,ANTIOQUIA,6.471662407059928,-74.93602954665108,1000,07:00,20:00,3,diario,2024163.462151733,420,1200,13.0,Grande
C00042,Cliente BELLO 42,BELLO,ANTIOQUIA,6.356399942828226,-75.60659762474631,1000,07:00,17:00,1,semanal,3458074.508788564,420,1020,10.0,Grande
C00043,Cliente ANSERMANUEVO 43,ANSERMANUEVO,VALLE DEL CAUCA,4.7828590648028335,-76.04337300829316,100,09:00,18:00,1,diario,4676339.286831563,540,1080,9.0,Pequeno
C00044,Cliente ANSERMANUEVO 44,ANSERMANUEVO,VALLE DEL CAUCA,4.814121903226527,-76.02011461333217,1000,07:00,17:00,3,semanal,1812064.7593237448,420,1020,10.0,Grande
C00045,Cliente SABANALARGA 45,SABANALARGA,ANTIOQUIA,6.88157624554519,-75.80758463437972,1000,08:00,17:00,2,mensual,917884.8359522256,480,1020,9.0,Grande
C00046,Cliente FLORIDA 46,FLORIDA,VALLE DEL CAUCA,3.28801766142604,-76.16510843499532,500,06:00,18:00,3,semanal,3098457.9853584715,360,1080,12.0,Mediano
C00047,Cliente MARINILLA 47,MARINILLA,ANTIOQUIA,6.200672365491922,-75.31444358506634,100,07:00,19:00,3,mensual,3310533.476513778,420,1140,12.0,Pequeno
C00048,Cliente ALEJANDRÍA 48,ALEJANDRÍA,ANTIOQUIA,6.370168171575597,-75.07284135581757,100,06:00,20:00,3,mensual,2898597.1804856006,360,1200,14.0,Pequeno
C00049,Cliente VERSALLES 49,VERSALLES,VALLE DEL CAUCA,4.649974169737694,-76.26091471438033,200,08:00,17:00,3,mensual,3274849.6206960506,480,1020,9.0,Mediano
C00050,Cliente DONMATÍAS 50,DONMATÍAS,ANTIOQUIA,6.480235550391572,-75.439502417965,100,06:00,19:00,3,semanal,3295827.045134674,360,1140,13.0,Pequeno
C00051,Cliente SAN JOSÉ DE LA MONTAÑA 51,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,6.837053925438778,-75.69677738257057,100,08:00,17:00,3,semanal,1774266.192043327,480,1020,9.0,Pequeno
C00052,Cliente NECHÍ 52,NECHÍ,ANTIOQUIA,7.998576274541082,-74.64903901824785,1000,06:00,17:00,3,semanal,2864175.4045622936,360,1020,11.0,Grande
C00053,Cliente SAN ROQUE 53,SAN ROQUE,ANTIOQUIA,6.462669918076457,-74.95019247656829,1000,09:00,17:00,3,mensual,1229268.9543996982,540,1020,8.0,Grande
C00054,Cliente CARACOLÍ 54,CARACOLÍ,ANTIOQUIA,6.3540759962671824,-74.7333380751021,50,07:00,17:00,3,semanal,103646.37482747687,420,1020,10.0,Pequeno
C00055,Cliente JAMUNDÍ 55,JAMUNDÍ,VALLE DEL CAUCA,3.1975438560714453,-76.6348316344964,500,08:00,18:00,3,semanal,1501393.3199054194,480,1080,10.0,Mediano
C00056,Cliente CÁCERES 56,CÁCERES,ANTIOQUIA,7.667303227093832,-75.23518832419903,1000,08:00,20:00,3,diario,2497380.508277778,480,1200,12.0,Grande
C00057,Cliente ZARZAL 57,ZARZAL,VALLE DEL CAUCA,4.373435999681213,-76.0684185138129,200,08:00,17:00,2,diario,757808.8261615374,480,1020,9.0,Mediano
C00058,Cliente NECOCLÍ 58,NECOCLÍ,ANTIOQUIA,8.507207105969496,-76.66232113178758,1000,09:00,18:00,2,mensual,775693.8673755261,540,1080,9.0,Grande
C00059,Cliente CAÑASGORDAS 59,CAÑASGORDAS,ANTIOQUIA,6.798343531563408,-76.00743073685996,1000,06:00,18:00,3,mensual,4930705.265923211,360,1080,12.0,Grande
C00060,Cliente BUENAVENTURA 60,BUENAVENTURA,VALLE DEL CAUCA,3.487349495868013,-77.11040107217667,200,06:00,20:00,3,semanal,4536454.206218943,360,1200,14.0,Mediano
C00061,Cliente CONCEPCIÓN 61,CONCEPCIÓN,ANTIOQUIA,6.373484260779532,-75.22771172304508,100,09:00,18:00,1,diario,631754.9215466692,540,1080,9.0,Pequeno
C00062,Cliente SEGOVIA 62,SEGOVIA,ANTIOQUIA,7.276691856277732,-74.61439768291612,500,07:00,17:00,2,semanal,4349565.684537828,420,1020,10.0,Mediano
C00063,Cliente YUMBO 63,YUMBO,VALLE DEL CAUCA,3.5933671022642626,-76.49890353003893,1000,09:00,17:00,1,mensual,2662120.489977184,540,1020,8.0,Grande
C00064,Cliente VIJES 64,VIJES,VALLE DEL CAUCA,3.7458130613760527,-76.45187507857524,100,08:00,17:00,2,semanal,4979365.3063953845,480,1020,9.0,Pequeno
