departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
76,valle del cauca,76109,BUENAVENTURA,CI COMBUSTIBLES DEL MAR SAS,BIOMAX,FLOTANTE APROXIMADAMENTE 100 MTS AL SUROCCIDENTE DEL MUELLE TURISTICO DE BUENAVENTURA,BIODIESEL EXTRA,8255,1,2015-01-05T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,CI COMBUSTIBLES DEL MAR SAS,BIOMAX,FLOTANTE APROXIMADAMENTE 100 MTS AL SUROCCIDENTE DEL MUELLE TURISTICO DE BUENAVENTURA,GASOLINA CORRIENTE OXIGENADA,8439,1,2015-01-05T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,CI COMBUSTIBLES DEL MAR SAS,BIOMAX,FLOTANTE APROXIMADAMENTE 100 MTS AL SUROCCIDENTE DEL MUELLE TURISTICO DE BUENAVENTURA,GASOLINA CORRIENTE,8439,1,2015-01-05T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES DEL PACíFICO,TEXACO,Carrera. 21 Calle 9 No. 6-186 La Palera,BIODIESEL EXTRA,10300,1,2015-02-10T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES DEL PACíFICO,TEXACO,Carrera. 21 Calle 9 No. 6-186 La Palera,GASOLINA EXTRA OXIGENADA,8250,1,2015-02-10T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES DEL PACíFICO,TEXACO,Carrera. 21 Calle 9 No. 6-186 La Palera,GASOLINA CORRIENTE OXIGENADA,8393,1,2015-02-10T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO VILLANUEVA BELEN,MOBIL,CARRERA 29 No. 46A-50,BIODIESEL EXTRA,7868,1,2015-05-07T00:00:00.000
5,antioquia,5250,EL BAGRE,GASOLINERA NORLEIVA,TEXACO,BARRIO LA VICTORIA- DIAGONAL POLIDEPORTIVO,GASOLINA CORRIENTE OXIGENADA,8575,1,2015-07-07T00:00:00.000
5,antioquia,5250,EL BAGRE,GASOLINERA NORLEIVA,TEXACO,BARRIO LA VICTORIA- DIAGONAL POLIDEPORTIVO,BIODIESEL CORRIENTE,8480,1,2015-07-07T00:00:00.000
5,antioquia,5250,EL BAGRE,ESTACION DE SERVICIO MINEROS,TEXACO,CARRERA 46 No. 46-01,GASOLINA CORRIENTE OXIGENADA,8598,1,2015-08-14T00:00:00.000
5,antioquia,5147,CAREPA,ESTACION DE SERVICIO PARADOR EL JHONSON,ZAPATA Y VELASQUEZ,Zungo Embarcader,GASOLINA CORRIENTE OXIGENADA,7379,1,2016-02-29T00:00:00.000
5,antioquia,5120,CACERES,ESTACION DE SERVICIO CANDILEJAS,ZEUSS,BARRIO VILLA DEL RIO VIA AL TIGRE,GASOLINA CORRIENTE OXIGENADA,7990,1,2016-03-01T00:00:00.000
5,antioquia,5120,CACERES,ESTACION DE SERVICIO CANDILEJAS,ZEUSS,BARRIO VILLA DEL RIO VIA AL TIGRE,BIODIESEL EXTRA,7390,1,2016-03-01T00:00:00.000
76,valle del cauca,76834,TULUA,ESTACION DE SERVICIO TEXACO 22 PUENTE NEGRO,TEXACO,CALLE 34 No. 27A-31,GASOLINA EXTRA OXIGENADA,10180,1,2016-04-07T00:00:00.000
76,valle del cauca,76834,TULUA,ESTACION DE SERVICIO TEXACO 22 PUENTE NEGRO,TEXACO,CALLE 34 No. 27A-31,GASOLINA CORRIENTE OXIGENADA,7750,1,2016-04-07T00:00:00.000
76,valle del cauca,76834,TULUA,ESTACION DE SERVICIO TEXACO 22 PUENTE NEGRO,TEXACO,CALLE 34 No. 27A-31,BIODIESEL EXTRA,7410,1,2016-04-07T00:00:00.000
5,antioquia,5129,CALDAS,ESTACION DE SERVICIO PRIMAVERA,ZEUSS,VARIANTE CALDAS KM 0,BIODIESEL EXTRA,8000,1,2016-05-03T00:00:00.000
5,antioquia,5129,CALDAS,ESTACION DE SERVICIO PRIMAVERA,ZEUSS,VARIANTE CALDAS KM 0,GASOLINA EXTRA OXIGENADA,9100,1,2016-05-03T00:00:00.000
5,antioquia,5129,CALDAS,ESTACION DE SERVICIO PRIMAVERA,ZEUSS,VARIANTE CALDAS KM 0,GASOLINA CORRIENTE OXIGENADA,8100,1,2016-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,MOBIL GUAYABAL,MOBIL,Carrera 50 FF 8 sur 93,GASOLINA CORRIENTE OXIGENADA,7820,1,2016-07-02T00:00:00.000
5,antioquia,5001,MEDELLIN,MOBIL GUAYABAL,MOBIL,Carrera 50 FF 8 sur 93,BIODIESEL EXTRA,7910,1,2016-07-02T00:00:00.000
5,antioquia,5001,MEDELLIN,MOBIL GUAYABAL,MOBIL,Carrera 50 FF 8 sur 93,GASOLINA EXTRA OXIGENADA,10890,1,2016-07-02T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIO ENVIA COLVANES ACOPI,TEXACO,Carrera 35B N 15-155 Acopi,BIODIESEL EXTRA,6483,1,2016-08-01T00:00:00.000
5,antioquia,5154,CAUCASIA,ESTACION DE SERVICIO AUTOMOTRIZ LA MAGNETICA,TEXACO,calle la virgen cuturo,BIODIESEL EXTRA,8580,1,2016-09-08T00:00:00.000
5,antioquia,5154,CAUCASIA,ESTACION DE SERVICIO AUTOMOTRIZ LA MAGNETICA,TEXACO,calle la virgen cuturo,GASOLINA CORRIENTE OXIGENADA,8700,1,2016-09-08T00:00:00.000
5,antioquia,5579,PUERTO BERRIO,SERVICENTRO SAN JUDAS,TERPEL,CRA 1 #53 - 20,GASOLINA CORRIENTE OXIGENADA,7770,1,2016-09-23T00:00:00.000
5,antioquia,5579,PUERTO BERRIO,SERVICENTRO SAN JUDAS,TERPEL,CRA 1 #53 - 20,BIODIESEL EXTRA,7260,1,2016-09-23T00:00:00.000
76,valle del cauca,76147,CARTAGO,MASGAS CARTAGO,BIOMAX,CARRERA 22 No.  9-234,BIODIESEL EXTRA,7544,1,2016-10-03T00:00:00.000
76,valle del cauca,76147,CARTAGO,MASGAS CARTAGO,BIOMAX,CARRERA 22 No.  9-234,GASOLINA CORRIENTE OXIGENADA,7885,1,2016-10-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SERVICENTRO MAZ - AUTOS,MOBIL,CALLE 5 No. 66B-66,BIODIESEL EXTRA,7390,1,2016-10-10T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SERVICENTRO MAZ - AUTOS,MOBIL,CALLE 5 No. 66B-66,GASOLINA CORRIENTE OXIGENADA,7390,1,2016-10-10T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SERVICENTRO MAZ - AUTOS,MOBIL,CALLE 5 No. 66B-66,GASOLINA EXTRA OXIGENADA,10160,1,2016-10-10T00:00:00.000
5,antioquia,5250,EL BAGRE,GASOLINERA LA BOYA EFRAIN,TEXACO,AVENIDA RODRIGO MIRA,GASOLINA CORRIENTE OXIGENADA,8400,1,2016-11-01T00:00:00.000
5,antioquia,5250,EL BAGRE,GASOLINERA LA BOYA EFRAIN,TEXACO,AVENIDA RODRIGO MIRA,BIODIESEL EXTRA,8200,1,2016-11-01T00:00:00.000
5,antioquia,5631,SABANETA,ENVIA COLVANES SABANETA,TERPEL,CARRERA 49 No. 57 SUR-18,BIODIESEL EXTRA,6655,1,2016-11-18T00:00:00.000
76,valle del cauca,76036,ANDALUCIA,ESTACION DE SERVICIO AUTOMOTRIZ ANDALUCIA I,TERPEL,CALLE 20 No. 4-83,BIODIESEL EXTRA,7461,1,2017-01-02T00:00:00.000
76,valle del cauca,76036,ANDALUCIA,ESTACION DE SERVICIO AUTOMOTRIZ ANDALUCIA I,TERPEL,CALLE 20 No. 4-83,GASOLINA CORRIENTE OXIGENADA,7909,1,2017-01-02T00:00:00.000
76,valle del cauca,76520,PALMIRA,ESTACION DE SERVICIO PRIVADOS DE COMBUSTIBLES LIQUIDOS REALPES,TERPEL,KILOMETRO 3 VIA ROZO CERRITO,BIODIESEL EXTRA,7034,1,2017-03-02T00:00:00.000
5,antioquia,5040,ANORI,ESTACION DE SERVICIO ANORI,TEXACO,CARRERA 35 Nº 31-189,GASOLINA CORRIENTE OXIGENADA,9050,1,2017-03-07T00:00:00.000
5,antioquia,5040,ANORI,ESTACION DE SERVICIO ANORI,TEXACO,CARRERA 35 Nº 31-189,BIODIESEL EXTRA,8050,1,2017-03-07T00:00:00.000
5,antioquia,5854,VALDIVIA,ESTACION DE SERVICIO LA COPOSA,TERPEL,VEREDA LA COPOSA,KEROSENE,9200,1,2017-04-03T00:00:00.000
5,antioquia,5854,VALDIVIA,ESTACION DE SERVICIO LA COPOSA,TERPEL,VEREDA LA COPOSA,BIODIESEL EXTRA,8310,1,2017-04-03T00:00:00.000
5,antioquia,5854,VALDIVIA,ESTACION DE SERVICIO LA COPOSA,TERPEL,VEREDA LA COPOSA,GASOLINA CORRIENTE OXIGENADA,8910,1,2017-04-03T00:00:00.000
5,antioquia,5837,TURBO,EDS LAS GARZAS,PETROMIL,VEREDA LAS GARZAS KILOMETRO 1,BIODIESEL EXTRA,7730,1,2017-05-02T00:00:00.000
5,antioquia,5837,TURBO,EDS LAS GARZAS,PETROMIL,VEREDA LAS GARZAS KILOMETRO 1,GASOLINA CORRIENTE OXIGENADA,8610,1,2017-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO LA 65 CON CALLE SAN JUAN,TERPEL,CARRERA 65 No. 45-85,GASOLINA CORRIENTE OXIGENADA,8270,1,2017-06-01T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO LA 65 CON CALLE SAN JUAN,TERPEL,CARRERA 65 No. 45-85,GASOLINA EXTRA OXIGENADA,10840,1,2017-06-01T00:00:00.000
76,valle del cauca,76126,CALIMA (DARIEN),ESTACION DE SERVICIO CALIMA 2,TERPEL,VIA JIGUALES CRUCERO LA UNION DE CALIMA DARIEN,GASOLINA CORRIENTE OXIGENADA,8481,1,2017-07-07T00:00:00.000
76,valle del cauca,76126,CALIMA (DARIEN),ESTACION DE SERVICIO CALIMA 2,TERPEL,VIA JIGUALES CRUCERO LA UNION DE CALIMA DARIEN,BIODIESEL EXTRA,8006,1,2017-07-07T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIO SAN AGUSTIN,BIOMAX,CALLE 14 No. 3-24,GASOLINA CORRIENTE OXIGENADA,8390,1,2017-08-03T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIO SAN AGUSTIN,BIOMAX,CALLE 14 No. 3-24,BIODIESEL EXTRA,7750,1,2017-08-03T00:00:00.000
76,valle del cauca,76834,TULUA,ESTACION DE SERVICIO SAN CRISTOBAL,TERPEL,Carrera 28 No 29- 16,GASOLINA CORRIENTE OXIGENADA,8770,1,2017-09-06T00:00:00.000
76,valle del cauca,76834,TULUA,ESTACION DE SERVICIO SAN CRISTOBAL,TERPEL,Carrera 28 No 29- 16,BIODIESEL EXTRA,8110,1,2017-09-06T00:00:00.000
76,valle del cauca,76520,PALMIRA,ESTACION DE SERVICIO SAN FLORIAN SAS,BIOMAX,CARRERA 27 No. 32-60,BIODIESEL EXTRA,7780,1,2017-10-03T00:00:00.000
76,valle del cauca,76520,PALMIRA,ESTACION DE SERVICIO SAN FLORIAN SAS,BIOMAX,CARRERA 27 No. 32-60,GASOLINA CORRIENTE OXIGENADA,8599,1,2017-10-03T00:00:00.000
5,antioquia,5490,NECOCLI,ESTACION DE SERVICIO EL REMANSO,ZAPATA Y VELASQUEZ,CORREGIMIENTO PUEBLO NUEVO,BIODIESEL EXTRA,8800,1,2017-10-17T00:00:00.000
5,antioquia,5490,NECOCLI,ESTACION DE SERVICIO EL REMANSO,ZAPATA Y VELASQUEZ,CORREGIMIENTO PUEBLO NUEVO,GASOLINA CORRIENTE OXIGENADA,9200,1,2017-10-17T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,EDS DISTRACOM COOMOBUEN,TEXACO,Calle 6 No. 34 - 22 Buenaventura Valle del Cauca,BIODIESEL EXTRA,7960,1,2017-12-01T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,EDS DISTRACOM COOMOBUEN,TEXACO,Calle 6 No. 34 - 22 Buenaventura Valle del Cauca,GASOLINA CORRIENTE OXIGENADA,8470,1,2017-12-01T00:00:00.000
5,antioquia,5001,MEDELLIN,COOPERATIVA NORTEÑA DE TRANSPORTADORES LTDA,TEXACO,CALLE 39 No. 48-46,BIODIESEL EXTRA,8170,1,2017-12-07T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO COMBUSTIBLES JUAN 23,BIOMAX,Carrera 38 No 1 sur 68,GASOLINA CORRIENTE OXIGENADA,8650,1,2017-12-07T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO COMBUSTIBLES JUAN 23,BIOMAX,Carrera 38 No 1 sur 68,BIODIESEL EXTRA,8168,1,2017-12-07T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO FLUVIAL Y MARITIMA EL PUERTO,PETROMIL,CARRERA 6 No. 21-31,BIODIESEL EXTRA,9150,1,2017-12-09T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO FLUVIAL Y MARITIMA EL PUERTO,PETROMIL,CARRERA 6 No. 21-31,GASOLINA CORRIENTE OXIGENADA,9669,1,2017-12-09T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO AVE FENIS,BIOMAX,CARRERA 62 BIS CON CALLE 18 B VIA INTERNA ALTERNA GAMBOA,GASOLINA CORRIENTE OXIGENADA,8710,1,2017-12-14T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO AVE FENIS,BIOMAX,CARRERA 62 BIS CON CALLE 18 B VIA INTERNA ALTERNA GAMBOA,GASOLINA EXTRA OXIGENADA,10780,1,2017-12-14T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO AVE FENIS,BIOMAX,CARRERA 62 BIS CON CALLE 18 B VIA INTERNA ALTERNA GAMBOA,BIODIESEL EXTRA,8055,1,2017-12-14T00:00:00.000
5,antioquia,5790,TARAZA,ESTACION DE SERVICIOS CAUCANA,TERPEL,CORREGIMIENTO LA CAUCANA,GASOLINA CORRIENTE OXIGENADA,8610,1,2017-12-22T00:00:00.000
5,antioquia,5790,TARAZA,ESTACION DE SERVICIOS CAUCANA,TERPEL,CORREGIMIENTO LA CAUCANA,BIODIESEL EXTRA,8299,1,2017-12-22T00:00:00.000
76,valle del cauca,76130,CANDELARIA,ESTACION DE SERVICIO ESSO JUANCHITO,MOBIL,CARRERA 8 No. 94-33,BIODIESEL EXTRA,8284,1,2018-01-19T00:00:00.000
76,valle del cauca,76130,CANDELARIA,ESTACION DE SERVICIO ESSO JUANCHITO,MOBIL,CARRERA 8 No. 94-33,GASOLINA CORRIENTE OXIGENADA,8886,1,2018-01-19T00:00:00.000
76,valle del cauca,76130,CANDELARIA,ESTACION DE SERVICIO ESSO JUANCHITO,MOBIL,CARRERA 8 No. 94-33,GASOLINA EXTRA OXIGENADA,9500,1,2018-01-19T00:00:00.000
5,antioquia,5030,AMAGA,ESTACION DE SERVICIO CAMILOCE,ZEUSS,Vereda Camiloce,GASOLINA EXTRA OXIGENADA,11740,1,2018-02-01T00:00:00.000
76,valle del cauca,76892,YUMBO,COORDINADORA MERCANTIL SA,MOBIL,"Carrera 36 No 13 - 290,",BIODIESEL EXTRA,7611,1,2018-02-01T00:00:00.000
5,antioquia,5030,AMAGA,ESTACION DE SERVICIO CAMILOCE,ZEUSS,Vereda Camiloce,GASOLINA CORRIENTE OXIGENADA,8970,1,2018-02-01T00:00:00.000
5,antioquia,5030,AMAGA,ESTACION DE SERVICIO CAMILOCE,ZEUSS,Vereda Camiloce,BIODIESEL EXTRA,8350,1,2018-02-01T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO CEMEX PLANTA CALI NORTE,MOBIL,Transversal 1 Calle 1 Recta Cali-Palmira,BIODIESEL EXTRA,10000,1,2018-02-08T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,EDS BIOMAX AVE FENIX III,BIOMAX,CARRERA 66 No 6-22,GASOLINA CORRIENTE OXIGENADA,8810,1,2018-03-01T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,EDS BIOMAX AVE FENIX III,BIOMAX,CARRERA 66 No 6-22,BIODIESEL EXTRA,8230,1,2018-03-01T00:00:00.000
76,valle del cauca,76147,CARTAGO,ESTACION DE SERVICIO LIDER,BIOMAX,CARRERA 3 No 2-56 E,GASOLINA CORRIENTE OXIGENADA,8948,1,2018-03-01T00:00:00.000
5,antioquia,5652,SAN FRANCISCO,ESTACION DE SERVICIO RIO CLARO,TERPEL,Kilómetro 154.5 Autopista Medellín - Bogotá Rio Claro,BIODIESEL EXTRA,8395,1,2018-03-01T00:00:00.000
5,antioquia,5652,SAN FRANCISCO,ESTACION DE SERVICIO RIO CLARO,TERPEL,Kilómetro 154.5 Autopista Medellín - Bogotá Rio Claro,GASOLINA EXTRA OXIGENADA,12000,1,2018-03-01T00:00:00.000
5,antioquia,5652,SAN FRANCISCO,ESTACION DE SERVICIO RIO CLARO,TERPEL,Kilómetro 154.5 Autopista Medellín - Bogotá Rio Claro,GASOLINA CORRIENTE OXIGENADA,9210,1,2018-03-01T00:00:00.000
76,valle del cauca,76147,CARTAGO,ESTACION DE SERVICIO LIDER,BIOMAX,CARRERA 3 No 2-56 E,BIODIESEL EXTRA,8129,1,2018-03-01T00:00:00.000
