id_cliente,BODEGA_MEDELLIN,BODEGA_CALI,C00001,C00002,C00003,C00004,C00005,C00006,C00007,C00008,C00009,C00010,C00011,C00012,C00013,C00014,C00015,C00016,C00017,C00018,C00019,C00020,C00021,C00022,C00023,C00024,C00025,C00026,C00027,C00028,C00029,C00030,C00031,C00032,C00033,C00034,C00035,C00036,C00037,C00038,C00039,C00040,C00041,C00042,C00043,C00044,C00045,C00046,C00047,C00048,C00049,C00050
BODEGA_MEDELLIN,0.0,329.33,52.49,66.57,43.47,80.62,219.86,182.91,36.51,279.86,52.14,142.09,15.51,71.59,300.19,66.11,239.75,91.07,171.15,59.83,239.84,98.37,183.54,29.97,66.5,66.61,187.05,171.11,222.96,22.21,78.27,241.21,229.68,80.31,101.44,239.3,71.45,331.07,121.89,77.89,158.72,22.46,73.54,12.56,171.75,167.66,75.04,336.23,28.12,55.81,194.12,28.87
BODEGA_CALI,329.33,0.0,370.97,265.04,311.25,297.73,120.28,146.57,330.16,574.88,336.67,375.72,344.39,378.39,33.71,392.04,90.05,420.4,158.28,269.73,523.19,360.24,145.93,333.76,388.02,393.1,142.33,158.46,108.1,310.58,406.39,89.66,110.41,249.05,426.65,90.75,378.46,17.3,442.79,321.31,486.1,311.12,379.5,338.88,157.64,161.79,389.74,44.6,334.12,362.56,136.6,357.85
C00001,52.49,370.97,0.0,106.44,94.26,87.82,256.26,226.28,41.36,274.69,41.02,175.96,39.15,22.37,340.3,24.59,282.79,61.01,213.28,106.94,242.98,66.76,226.86,37.21,69.91,26.45,229.24,212.88,267.16,63.13,41.15,281.58,266.4,125.55,56.01,282.57,89.48,371.08,110.67,123.87,115.81,74.87,24.34,52.13,214.04,209.77,84.01,373.51,36.95,16.41,238.67,31.44
C00002,66.57,265.04,106.44,0.0,69.72,59.93,153.4,119.84,66.94,341.23,77.25,177.32,80.64,116.84,235.01,127.01,176.41,156.55,106.96,20.84,297.6,115.77,120.42,69.34,131.57,128.07,122.94,106.64,160.73,45.95,141.52,176.05,163.29,23.21,161.73,176.17,130.71,265.88,187.58,103.11,221.07,54.21,118.27,77.9,107.69,103.45,137.81,270.09,69.49,100.01,132.33,93.86
C00003,43.47,311.25,94.26,69.72,0.0,110.13,210.96,165.81,77.3,275.12,93.46,109.79,55.1,114.58,284.58,102.71,221.3,118.05,156.53,51.64,229.45,140.41,166.48,72.13,77.78,102.59,171.59,157.03,203.2,49.94,111.01,226.52,220.06,70.15,136.41,220.52,67.69,315.12,131.56,37.76,189.11,25.67,116.56,42.4,156.85,153.23,78.49,323.6,70.49,99.21,174.68,65.16
C00004,80.62,297.73,87.82,59.93,110.13,0.0,178.58,161.34,51.25,356.09,46.84,218.93,86.09,86.09,265.32,112.4,214.28,148.39,146.78,77.31,318.83,63.53,161.78,58.91,142.27,114.2,161.72,145.72,201.64,62.13,128.94,208.47,188.77,82.35,141.1,214.52,151.57,295.41,193.39,147.78,199.82,85.54,86.64,92.59,147.8,143.54,153.25,294.43,60.62,73.82,175.51,94.64
C00005,219.86,120.28,256.26,153.4,210.96,178.58,0.0,56.31,214.93,484.95,219.68,296.93,234.03,261.46,87.14,278.7,53.73,309.77,57.88,162.87,436.79,240.42,55.73,219.45,283.25,279.97,47.64,56.63,56.76,199.25,293.95,36.16,10.21,142.24,312.27,55.28,278.22,116.87,339.28,230.57,372.07,204.68,262.42,230.76,58.08,60.5,287.57,117.25,220.08,246.34,59.87,247.19
C00006,182.91,146.57,226.28,119.84,165.81,161.34,56.31,0.0,186.31,435.72,194.65,243.35,198.07,235.71,118.79,246.45,56.85,273.96,14.81,123.2,386.11,224.82,0.68,189.15,241.79,247.41,8.76,16.3,41.04,164.7,260.39,61.0,62.13,102.6,281.43,56.47,233.43,149.43,296.98,180.31,340.48,164.56,237.0,192.32,13.68,17.84,244.14,158.32,189.33,219.24,14.66,211.55
C00007,36.51,330.16,41.36,66.94,77.3,51.25,214.93,186.31,0.0,304.9,16.17,178.46,36.51,49.98,299.25,64.7,242.5,99.08,172.97,71.53,268.41,63.16,186.87,7.94,91.46,66.23,188.87,172.47,227.32,30.63,80.81,240.65,225.08,87.87,97.35,242.36,102.93,329.99,142.18,113.6,157.16,52.21,51.48,46.03,173.78,169.48,103.09,332.18,9.86,33.06,199.11,43.52
C00008,279.86,574.88,274.69,341.23,275.12,356.09,484.95,435.72,304.9,0.0,312.79,202.13,270.79,288.72,552.19,252.2,487.49,216.79,428.64,325.99,54.6,337.92,436.4,297.18,214.24,250.08,442.62,429.45,468.54,301.9,237.23,496.54,493.64,345.25,241.01,486.34,210.55,581.59,164.04,255.41,214.57,287.08,289.67,267.31,428.76,425.56,204.85,593.62,295.47,291.07,441.86,261.45
C00009,52.14,336.67,41.02,77.25,93.46,46.84,219.68,194.65,16.17,312.79,0.0,193.49,49.65,41.8,305.16,65.61,250.17,101.85,180.86,84.76,278.22,46.99,195.18,22.22,101.44,67.45,196.6,180.19,235.68,46.2,82.17,247.02,229.88,99.4,94.8,250.14,115.32,335.72,149.03,129.63,154.11,68.36,42.84,60.63,181.74,177.42,114.01,336.66,24.15,27.35,207.91,53.65
C00010,142.09,375.72,175.96,177.32,109.79,218.93,296.93,243.35,178.46,202.13,193.49,0.0,144.66,198.24,355.32,169.19,290.85,158.5,239.06,157.18,148.65,237.58,244.01,171.37,113.52,167.75,251.15,240.29,271.83,157.03,166.38,302.51,304.45,170.87,189.71,289.5,89.22,383.69,127.77,74.23,218.92,133.42,200.15,132.87,238.92,236.44,100.13,398.02,169.4,188.1,247.04,145.78
C00011,15.51,344.39,39.15,80.64,55.1,86.09,234.03,198.07,36.51,270.79,49.65,144.66,0.0,59.93,315.03,50.71,254.92,76.11,186.14,75.16,232.74,93.02,198.69,28.63,56.56,51.16,202.07,186.05,238.25,34.88,62.78,256.05,243.92,95.49,85.99,254.5,66.42,345.92,110.3,86.01,143.24,37.38,61.93,13.31,186.76,182.64,67.16,350.68,26.66,45.74,209.42,13.48
C00012,71.59,378.39,22.37,116.84,114.58,86.09,261.46,235.71,49.98,288.72,41.8,198.24,59.93,0.0,346.95,37.09,291.55,72.05,222.12,120.8,259.77,49.27,236.26,49.22,90.46,39.21,237.93,221.52,276.75,77.68,51.5,288.74,271.67,137.8,56.14,291.48,111.19,377.52,125.69,145.6,113.82,93.34,2.01,73.2,222.97,218.65,104.79,378.38,49.82,17.17,248.73,53.64
C00013,300.19,33.71,340.3,235.01,284.58,265.32,87.14,118.79,299.25,552.19,305.16,355.32,315.03,346.95,0.0,361.86,64.72,391.14,129.21,241.02,501.38,327.49,118.13,303.15,360.45,362.99,113.51,129.14,83.72,280.83,376.52,58.99,77.13,220.19,396.17,65.94,352.16,30.88,415.76,297.27,455.8,282.77,348.0,310.16,128.7,132.68,362.93,43.85,303.6,331.36,110.67,328.44
C00014,66.11,392.04,24.59,127.01,102.71,112.4,278.7,246.45,64.7,252.2,65.61,169.19,50.71,37.09,361.86,0.0,303.21,36.69,233.9,124.77,222.68,86.24,247.06,59.37,56.92,2.13,249.88,233.63,287.06,81.79,16.56,302.97,288.78,144.45,35.4,302.9,80.11,392.71,88.72,126.61,94.07,88.03,38.35,61.11,234.61,230.39,71.29,395.92,58.64,39.98,258.36,38.15
C00015,239.75,90.05,282.79,176.41,221.3,214.28,53.73,56.85,242.5,487.49,250.17,290.85,254.92,291.55,64.72,303.21,0.0,330.79,69.54,180.01,436.66,277.72,56.23,245.61,297.97,304.19,53.64,70.05,19.03,221.5,317.23,21.94,49.17,159.44,338.11,2.02,288.63,94.37,352.8,232.71,397.27,221.2,292.78,249.06,68.75,73.04,299.78,107.22,245.84,275.28,46.63,268.4
