a_o,mes,estado,lugar,vehiculos,pasajeros
2020,ENERO,SALIDAS,TERMINAL DEL NORTE,64250,911618
2020,FEBRERO,SALIDAS,TERMINAL DEL NORTE,57159,716779
2020,MARZO,SALIDAS,TERMINAL DEL NORTE,38094,470565
2020,ABRIL,SALIDAS,TERMINAL DEL NORTE,1614,9365
2020,MAYO,SALIDAS,TERMINAL DEL NORTE,8270,42641
2020,JUNIO,SALIDAS,TERMINAL DEL NORTE,13804,78228
2020,JULIO,SALIDAS,TERMINAL DEL NORTE,16566,91374
2020,AGOSTO,SALIDAS,TERMINAL DEL NORTE,18162,104474
2020,SEPTIEMBRE,SALIDAS,TERMINAL DEL NORTE,41648,320978
2020,OCTUBRE,SALIDAS,TERMINAL DEL NORTE,49481,419346
2020,NOVIEMBRE,SALIDAS,TERMINAL DEL NORTE,48020,407545
2020,DICIEMBRE,SALIDAS,TERMINAL DEL NORTE,54017,571369
2020,ENERO,SALIDAS,TERMINAL DEL SUR,24944,242967
2020,FEBRERO,SALIDAS,TERMINAL DEL SUR,21327,156526
2020,MARZO,SALIDAS,TERMINAL DEL SUR,14384,101222
2020,ABRIL,SALIDAS,TERMINAL DEL SUR,372,2058
2020,MAYO,SALIDAS,TERMINAL DEL SUR,1171,5409
2020,JUNIO,SALIDAS,TERMINAL DEL SUR,2551,12460
2020,JULIO,SALIDAS,TERMINAL DEL SUR,3239,16569
2020,AGOSTO,SALIDAS,TERMINAL DEL SUR,4216,22972
2020,SEPTIEMBRE,SALIDAS,TERMINAL DEL SUR,12748,85365
2020,OCTUBRE,SALIDAS,TERMINAL DEL SUR,16138,108818
2020,NOVIEMBRE,SALIDAS,TERMINAL DEL SUR,15853,102532
2020,DICIEMBRE,SALIDAS,TERMINAL DEL SUR,18928,149024
2020,ENERO,LLEGADAS,TERMINAL DEL NORTE,54492,647906
2020,FEBRERO,LLEGADAS,TERMINAL DEL NORTE,45537,442828
2020,MARZO,LLEGADAS,TERMINAL DEL NORTE,30404,281407
2020,ABRIL,LLEGADAS,TERMINAL DEL NORTE,1022,3573
2020,MAYO,LLEGADAS,TERMINAL DEL NORTE,4408,15851
2020,JUNIO,LLEGADAS,TERMINAL DEL NORTE,7831,34128
2020,JULIO,LLEGADAS,TERMINAL DEL NORTE,10110,47370
2020,AGOSTO,LLEGADAS,TERMINAL DEL NORTE,11143,58927
2020,SEPTIEMBRE,LLEGADAS,TERMINAL DEL NORTE,32296,207013
2020,OCTUBRE,LLEGADAS,TERMINAL DEL NORTE,39219,277108
2020,NOVIEMBRE,LLEGADAS,TERMINAL DEL NORTE,39104,281255
2020,DICIEMBRE,LLEGADAS,TERMINAL DEL NORTE,43830,336078
2020,ENERO,LLEGADAS,TERMINAL DEL SUR,21930,199427
2020,FEBRERO,LLEGADAS,TERMINAL DEL SUR,18298,138834
2020,MARZO,LLEGADAS,TERMINAL DEL SUR,12319,87947
2020,ABRIL,LLEGADAS,TERMINAL DEL SUR,240,470
2020,MAYO,LLEGADAS,TERMINAL DEL SUR,647,1624
2020,JUNIO,LLEGADAS,TERMINAL DEL SUR,1772,4813
2020,JULIO,LLEGADAS,TERMINAL DEL SUR,2342,7748
2020,AGOSTO,LLEGADAS,TERMINAL DEL SUR,3054,11245
2020,SEPTIEMBRE,LLEGADAS,TERMINAL DEL SUR,10503,50357
2020,OCTUBRE,LLEGADAS,TERMINAL DEL SUR,13693,70497
2020,NOVIEMBRE,LLEGADAS,TERMINAL DEL SUR,13768,71472
2020,DICIEMBRE,LLEGADAS,TERMINAL DEL SUR,16281,96464
2021,ENERO,SALIDAS,TERMINAL DEL NORTE,47216,425131
2021,FEBRERO,SALIDAS,TERMINAL DEL NORTE,46790,425705
2021,MARZO,SALIDAS,TERMINAL DEL NORTE,53428,526902
2021,ABRIL,SALIDAS,TERMINAL DEL NORTE,36886,332373
2021,MAYO,SALIDAS,TERMINAL DEL NORTE,40315,350080
2021,JUNIO,SALIDAS,TERMINAL DEL NORTE,48986,504064
2021,JULIO,SALIDAS,TERMINAL DEL NORTE,52750,585836
2021,AGOSTO,SALIDAS,TERMINAL DEL NORTE,53657,607345
2021,SEPTIEMBRE,SALIDAS,TERMINAL DEL NORTE,52222,581807
2021,OCTUBRE,SALIDAS,TERMINAL DEL NORTE,55235,688990
2021,NOVIEMBRE,SALIDAS,TERMINAL DEL NORTE,53653,661679
2021,DICIEMBRE,SALIDAS,TERMINAL DEL NORTE,60100,897583
2021,ENERO,SALIDAS,TERMINAL DEL SUR,16309,110325
2021,FEBRERO,SALIDAS,TERMINAL DEL SUR,15366,93382
2021,MARZO,SALIDAS,TERMINAL DEL SUR,17404,120688
2021,ABRIL,SALIDAS,TERMINAL DEL SUR,12245,80073
2021,MAYO,SALIDAS,TERMINAL DEL SUR,12041,63184
2021,JUNIO,SALIDAS,TERMINAL DEL SUR,15642,108314
2021,JULIO,SALIDAS,TERMINAL DEL SUR,17369,131701
2021,AGOSTO,SALIDAS,TERMINAL DEL SUR,17309,134116
2021,SEPTIEMBRE,SALIDAS,TERMINAL DEL SUR,16760,124551
2021,OCTUBRE,SALIDAS,TERMINAL DEL SUR,18120,156606
2021,NOVIEMBRE,SALIDAS,TERMINAL DEL SUR,17388,141668
2021,DICIEMBRE,SALIDAS,TERMINAL DEL SUR,19851,225804
2021,ENERO,LLEGADAS,TERMINAL DEL NORTE,39997,346488
2021,FEBRERO,LLEGADAS,TERMINAL DEL NORTE,38050,283371
2021,MARZO,LLEGADAS,TERMINAL DEL NORTE,43832,343069
2021,ABRIL,LLEGADAS,TERMINAL DEL NORTE,31030,247715
2021,MAYO,LLEGADAS,TERMINAL DEL NORTE,34247,240841
2021,JUNIO,LLEGADAS,TERMINAL DEL NORTE,42497,343329
2021,JULIO,LLEGADAS,TERMINAL DEL NORTE,45882,399157
2021,AGOSTO,LLEGADAS,TERMINAL DEL NORTE,46263,419469
2021,SEPTIEMBRE,LLEGADAS,TERMINAL DEL NORTE,47531,417978
2021,OCTUBRE,LLEGADAS,TERMINAL DEL NORTE,51572,480965
2021,NOVIEMBRE,LLEGADAS,TERMINAL DEL NORTE,50166,466050
2021,DICIEMBRE,LLEGADAS,TERMINAL DEL NORTE,54830,573737
2021,ENERO,LLEGADAS,TERMINAL DEL SUR,14491,89379
2021,FEBRERO,LLEGADAS,TERMINAL DEL SUR,13333,66628
2021,MARZO,LLEGADAS,TERMINAL DEL SUR,14943,80730
2021,ABRIL,LLEGADAS,TERMINAL DEL SUR,10629,57924
2021,MAYO,LLEGADAS,TERMINAL DEL SUR,9893,37784
2021,JUNIO,LLEGADAS,TERMINAL DEL SUR,13477,74574
2021,JULIO,LLEGADAS,TERMINAL DEL SUR,14888,91817
2021,AGOSTO,LLEGADAS,TERMINAL DEL SUR,14896,94097
2021,SEPTIEMBRE,LLEGADAS,TERMINAL DEL SUR,14520,86426
2021,OCTUBRE,LLEGADAS,TERMINAL DEL SUR,15879,104164
2021,NOVIEMBRE,LLEGADAS,TERMINAL DEL SUR,15453,102873
2021,DICIEMBRE,LLEGADAS,TERMINAL DEL SUR,17502,140525
2022,ENERO,SALIDAS,TERMINAL DEL NORTE,56999,743792
2022,FEBRERO,SALIDAS,TERMINAL DEL NORTE,50957,611242
