id_vehiculo,tipo,capacidad_kg,consumo_galon_km,velocidad_promedio,bodega_base,anio,costo_hora,disponibilidad
V001,Automovil,200,0.08,40,Medellin,2022,19000,disponible
V002,Motocicleta,50,0.02,45,Medellin,2017,16000,disponible
V003,Automovil,200,0.08,40,Medellin,2019,19000,disponible
V004,Camioneta,500,0.12,35,Medellin,2020,25000,disponible
V005,Camioneta,500,0.12,35,Medellin,2020,25000,disponible
V006,Bus,2000,0.25,25,Medellin,2015,55000,disponible
V007,Camioneta,500,0.12,35,Medellin,2023,25000,disponible
V008,Camioneta,500,0.12,35,Medellin,2017,25000,disponible
V009,Bus,2000,0.25,25,Medellin,2023,55000,disponible
V010,Camioneta,500,0.12,35,Medellin,2019,25000,disponible
V011,Motocicleta,50,0.02,45,Medellin,2023,16000,en_ruta
V012,Camion,1500,0.2,30,Medellin,2023,45000,disponible
V013,Automovil,200,0.08,40,Medellin,2021,19000,disponible
V014,Camion,1500,0.2,30,Medellin,2017,45000,en_ruta
V015,Automovil,200,0.08,40,Medellin,2022,19000,en_mantenimiento
V016,Automovil,200,0.08,40,Medellin,2020,19000,disponible
V017,Motocicleta,50,0.02,45,Medellin,2016,16000,en_mantenimiento
V018,Bus,2000,0.25,25,Medellin,2018,55000,disponible
V019,Bus,2000,0.25,25,Medellin,2022,55000,disponible
V020,Camioneta,500,0.12,35,Medellin,2022,25000,en_mantenimiento
V021,Camioneta,500,0.12,35,Medellin,2019,25000,disponible
V022,Bus,2000,0.25,25,Medellin,2023,55000,disponible
V023,Motocicleta,50,0.02,45,Medellin,2023,16000,en_ruta
V024,Camion,1500,0.2,30,Medellin,2022,45000,disponible
V025,Camion,1500,0.2,30,Medellin,2015,45000,disponible
V026,Camion,1500,0.2,30,Medellin,2019,45000,en_ruta
V027,Camioneta,500,0.12,35,Medellin,2021,25000,en_ruta
V028,Automovil,200,0.08,40,Medellin,2015,19000,disponible
V029,Automovil,200,0.08,40,Medellin,2022,19000,disponible
V030,Camioneta,500,0.12,35,Medellin,2020,25000,en_ruta
V031,Automovil,200,0.08,40,Medellin,2019,19000,en_ruta
V032,Camion,1500,0.2,30,Medellin,2019,45000,disponible
V033,Camion,1500,0.2,30,Medellin,2021,45000,disponible
V034,Camioneta,500,0.12,35,Medellin,2017,25000,disponible
V035,Camioneta,500,0.12,35,Medellin,2018,25000,disponible
V036,Camioneta,500,0.12,35,Medellin,2019,25000,disponible
V037,Automovil,200,0.08,40,Medellin,2018,19000,en_ruta
V038,Camioneta,500,0.12,35,Medellin,2017,25000,disponible
V039,Bus,2000,0.25,25,Medellin,2023,55000,disponible
V040,Automovil,200,0.08,40,Medellin,2018,19000,en_ruta
V041,Camioneta,500,0.12,35,Medellin,2021,25000,en_ruta
V042,Automovil,200,0.08,40,Medellin,2015,19000,disponible
V043,Camioneta,500,0.12,35,Medellin,2023,25000,en_mantenimiento
V044,Camion,1500,0.2,30,Medellin,2021,45000,disponible
V045,Camioneta,500,0.12,35,Medellin,2019,25000,disponible
V046,Automovil,200,0.08,40,Medellin,2022,19000,en_ruta
V047,Automovil,200,0.08,40,Medellin,2022,19000,disponible
V048,Automovil,200,0.08,40,Medellin,2015,19000,disponible
V049,Automovil,200,0.08,40,Medellin,2021,19000,disponible
V050,Automovil,200,0.08,40,Medellin,2015,19000,en_ruta
V051,Automovil,200,0.08,40,Cali,2016,19000,disponible
V052,Motocicleta,50,0.02,45,Cali,2019,16000,disponible
V053,Camioneta,500,0.12,35,Cali,2016,25000,disponible
V054,Automovil,200,0.08,40,Cali,2020,19000,disponible
V055,Camioneta,500,0.12,35,Cali,2022,25000,disponible
V056,Camioneta,500,0.12,35,Cali,2022,25000,disponible
V057,Bus,2000,0.25,25,Cali,2020,55000,disponible
V058,Motocicleta,50,0.02,45,Cali,2015,16000,disponible
V059,Camioneta,500,0.12,35,Cali,2017,25000,disponible
V060,Camioneta,500,0.12,35,Cali,2017,25000,disponible
V061,Camion,1500,0.2,30,Cali,2018,45000,disponible
V062,Motocicleta,50,0.02,45,Cali,2015,16000,disponible
V063,Camioneta,500,0.12,35,Cali,2022,25000,disponible
V064,Automovil,200,0.08,40,Cali,2023,19000,disponible
V065,Camioneta,500,0.12,35,Cali,2017,25000,disponible
V066,Motocicleta,50,0.02,45,Cali,2023,16000,disponible
V067,Automovil,200,0.08,40,Cali,2015,19000,disponible
V068,Camion,1500,0.2,30,Cali,2019,45000,en_ruta
V069,Motocicleta,50,0.02,45,Cali,2023,16000,disponible
V070,Camioneta,500,0.12,35,Cali,2017,25000,en_ruta
V071,Automovil,200,0.08,40,Cali,2015,19000,disponible
V072,Motocicleta,50,0.02,45,Cali,2022,16000,en_mantenimiento
V073,Camioneta,500,0.12,35,Cali,2017,25000,disponible
V074,Bus,2000,0.25,25,Cali,2023,55000,disponible
V075,Motocicleta,50,0.02,45,Cali,2016,16000,disponible
V076,Automovil,200,0.08,40,Cali,2023,19000,disponible
V077,Motocicleta,50,0.02,45,Cali,2019,16000,disponible
V078,Automovil,200,0.08,40,Cali,2022,19000,en_mantenimiento
V079,Camioneta,500,0.12,35,Cali,2015,25000,disponible
V080,Camioneta,500,0.12,35,Cali,2020,25000,disponible
V081,Automovil,200,0.08,40,Cali,2020,19000,en_ruta
V082,Automovil,200,0.08,40,Cali,2022,19000,disponible
V083,Camion,1500,0.2,30,Cali,2015,45000,disponible
V084,Automovil,200,0.08,40,Cali,2019,19000,disponible
V085,Automovil,200,0.08,40,Cali,2018,19000,disponible
